ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008168	Methyltransferase activity	38/2969	192/14597	0.197916666666667	0.973051392163467	-0.189932739399199	0.604078457961786	0.999999862227987	0.961263786856635	LOC_00013945/LOC_00002910/LOC_00021783/LOC_00006638/LOC_00002526/LOC_00020952/LOC_00025234/LOC_00012104/LOC_00002749/LOC_00019749/LOC_00015461/LOC_00002680/LOC_00004165/LOC_00006028/LOC_00008964/LOC_00022601/LOC_00010971/LOC_00018200/LOC_00000081/LOC_00022574/LOC_00010991/LOC_00004608/LOC_00002326/LOC_00007033/LOC_00024269/LOC_00008972/LOC_00015643/LOC_00017059/LOC_00023927/LOC_00003712/LOC_00012355/LOC_00017084/LOC_00024734/LOC_00012481/LOC_00017056/LOC_00018590/LOC_00025907/LOC_00025601	38
GO:0015144	Carbohydrate transmembrane transporter activity	10/2969	51/14597	0.196078431372549	0.964013763134085	-0.130082610940351	0.607191387509067	0.999999862227987	0.961263786856635	LOC_00021098/LOC_00007120/LOC_00024546/LOC_00014140/LOC_00012114/LOC_00024272/LOC_00021289/LOC_00005837/LOC_00009985/LOC_00002861	10
GO:0003755	Peptidyl-prolyl cis-trans isomerase activity	8/2969	41/14597	0.195121951219512	0.959311256972455	-0.131830133891787	0.61418238443358	0.999999862227987	0.961263786856635	LOC_00016809/LOC_00000572/LOC_00006715/LOC_00002455/LOC_00000632/LOC_00018482/LOC_00011922/LOC_00017315	8
GO:0016684	Oxidoreductase activity, acting on peroxide as acceptor	8/2969	41/14597	0.195121951219512	0.959311256972455	-0.131830133891787	0.61418238443358	0.999999862227987	0.961263786856635	LOC_00000580/LOC_00021242/LOC_00012873/LOC_00004061/LOC_00002908/LOC_00012502/LOC_00016292/LOC_00003427	8
GO:0001221	Transcription coregulator binding	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00009090/LOC_00015620/LOC_00021162	3
GO:0002161	aminoacyl-tRNA editing activity	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00016444/LOC_00014016/LOC_00025555	3
GO:0004312	Fatty acid synthase activity	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00005375/LOC_00004929/LOC_00017150	3
GO:0016722	Oxidoreductase activity, acting on metal ions	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00004630/LOC_00003114/LOC_00012057	3
GO:0019955	Cytokine binding	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00014542/LOC_00011570/LOC_00004504	3
GO:0140678	Molecular function inhibitor activity	3/2969	15/14597	0.2	0.983294038396767	-0.0327098141124619	0.614723980231528	0.999999862227987	0.961263786856635	LOC_00019298/LOC_00018952/LOC_00015209	3
GO:0070063	RNA polymerase binding	7/2969	36/14597	0.194444444444444	0.955980315107968	-0.133620192610387	0.618974963377362	0.999999862227987	0.961263786856635	LOC_00000187/LOC_00012555/LOC_00024918/LOC_00002523/LOC_00016598/LOC_00005667/LOC_00004185	7
