gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta	sd_delta	mean_ctrl_beta	z_score	p_value	fdr	direction
LOC_00021212	729	0.301804433042877	0.30259245292404	0.000788019881163076	0.198870923779926	0.673382438109422	0.106986664450496	0.914799559256354	0.97852918989803	Gaining
LOC_00021213	247	0.262644821742188	0.293695742195316	0.0310509204531274	0.213772703922283	0.868871228386218	2.28281493284873	0.0224412719729363	0.290734802223142	Gaining
LOC_00021214	7	0.0240944217562651	0.0273476108016256	0.00325318904536046	0.104098603651387	0.00357142857142857	0.0826824652780894	0.93410402780658	0.983561001461608	Gaining
LOC_00021215	1543	0.193260095005816	0.19172609501205	-0.00153399999376601	0.183401551728938	0.415343221061	-0.328552907685334	0.742493647766787	0.930868038134448	Losing
LOC_00021216	71	0.463900457831721	0.443351444227559	-0.0205490136041627	0.230457502556941	0.882825081283517	-0.751327530666668	0.452455564533584	0.806107948819791	Losing
LOC_00021217	54	0.409227531308304	0.383860236719703	-0.0253672945886004	0.326452297568306	0.888463821893687	-0.571019977740556	0.567986100773518	0.863751207602144	Losing
LOC_00021218	2061	0.0177094140667847	0.015037136283961	-0.0026722777828237	0.0865944313395347	0.00302686293972409	-1.40097579616408	0.16122131104387	0.587377955161001	Losing
LOC_00021219	3693	0.0227364752033073	0.0228897780607102	0.000153302857402919	0.103559268383585	0.00395708597291903	0.089960307225751	0.928318757132602	0.981380330801494	Gaining
LOC_00021220	564	0.0188998929551186	0.0216804012157817	0.00278050826066306	0.0823315587298335	0.00303561562832674	0.802042540486584	0.422528350879911	0.787821390049436	Gaining
LOC_00021221	1152	0.0157078394533357	0.0185117806569242	0.00280394120358845	0.0895449089503463	0.00258999499614202	1.06280660053883	0.28786966561883	0.719568340727081	Gaining
LOC_00021222	365	0.551577273034897	0.547105732395869	-0.00447154063902714	0.209080486971994	0.789594421175365	-0.40859223734702	0.682838928336494	0.910061580049	Losing
LOC_00021223	261	0.3682133109846	0.335919020362611	-0.0322942906219891	0.224630833925952	0.857386103297775	-2.3226118287871	0.0202000146933373	0.280260714085364	Losing
LOC_00021224	566	0.042700075616427	0.0401574671008982	-0.0025426085155288	0.109027551341582	0.0534628335440932	-0.554819165021673	0.579018356973577	0.868677806995186	Losing
LOC_00021225	605	0.0222249638355087	0.0159402718498929	-0.00628469198561578	0.0908861725656997	0.00362192433705557	-1.70084160338681	0.0889727346825086	0.487790840930849	Losing
LOC_00021226	453	0.365967941539626	0.366567233653689	0.000599292114062871	0.247709506206269	0.88393644239805	0.0514926200745578	0.958932982379218	0.990925785852717	Gaining
LOC_00021227	91	0.369610722694848	0.358387305620036	-0.0112234170748117	0.200020481882152	0.741818658504166	-0.535268059589179	0.59246450954517	0.874479863384191	Losing
LOC_00021228	566	0.064453796099461	0.0642014561377221	-0.000252339961739008	0.115241518887365	0.084384586044284	-0.0520937084128564	0.958454026120337	0.990673066998388	Losing
LOC_00021229	482	0.0197797495663115	0.0174898263873006	-0.00228992317901081	0.0859447972606016	0.00319098536905927	-0.584958210064816	0.558575816604353	0.860394855092513	Losing
LOC_00021230	13	0.260043674013167	0.202660668239442	-0.0573830057737255	0.146520921265995	0.632682242506657	-1.41206708140888	0.157930210338349	0.584479406203504	Losing
LOC_00021232	663	0.351912490197809	0.340852695114747	-0.0110597950830629	0.250149083303451	0.88428435450395	-1.13842632253701	0.254942507842904	0.691912047457323	Losing
LOC_00021233	403	0.297353153900708	0.295768429223244	-0.00158472467746406	0.232924820066024	0.897852564798067	-0.136581090288976	0.891361924176369	0.971963348289268	Losing
LOC_00021235	114	0.0128410126057057	0.0230418078062622	0.0102007952005565	0.0912139544094637	0.00198719370253755	1.19405730509571	0.232455552703391	0.670137548926349	Gaining
LOC_00021234	71	0.01438491172975	0.0187834979353736	0.00439858620562366	0.0989951004167463	0.00231807511737089	0.374393742748734	0.708111397577923	0.918684210148113	Gaining
LOC_00021236	46	0.00000000346619761090596	0.0235723384561024	0.0235723349899048	0.0801214492934993	0	1.99541266145413	0.0459978911326494	0.382733158549007	Gaining
LOC_00021237	722	0.0183924809992426	0.0153826578433413	-0.00300982315590132	0.0799567057453407	0.00297068045436542	-1.01147391037552	0.311789661948031	0.719961176149251	Losing
LOC_00021238	779	0.299565434138429	0.314343345915483	0.0147779117770546	0.229620773682477	0.905219270908737	1.79626588776724	0.0724522403276361	0.450381040981071	Gaining
LOC_00021239	89	0.294103599605982	0.23760269679592	-0.0565009028100623	0.207930653050878	0.615298172436443	-2.56349144887198	0.0103625253460932	0.212018423231253	Losing
LOC_00021240	296	0.0289538310538596	0.0289904065745711	0.0000365755207114597	0.115568373276903	0.00528114728907231	0.00544499359210607	0.995655545146566	0.999403071064643	Gaining
LOC_00021241	132	0.362012626668969	0.338074563171709	-0.0239380634972597	0.172253690827812	0.443187907694225	-1.59664161314576	0.110345617408726	0.526234425582905	Losing
LOC_00021242	182	0.518113080257342	0.536291267302671	0.018178187045329	0.244371112950957	0.733231108510832	1.00354394528249	0.315598484884203	0.719961176149251	Gaining
LOC_00021243	566	0.0253820472068748	0.0279141101548484	0.00253206294797362	0.100807684344985	0.00507502112140949	0.597570397358809	0.550126621438372	0.856838152797406	Gaining
LOC_00021245	270	0.410559289159981	0.39966024572927	-0.0108990434307115	0.225410636735083	0.810039819199427	-0.794503581822334	0.426902324593276	0.790283705612917	Losing
LOC_00021246	652	0.468599254904987	0.439377234740084	-0.0292220201649027	0.23708937309235	0.833827566006468	-3.14718263037928	0.00164851959519124	0.0887627100587249	Losing
LOC_00021247	314	0.380407453090727	0.392818439171656	0.0124109860809283	0.213155146375357	0.747218500694418	1.03175193003062	0.302188343376767	0.719961176149251	Gaining
LOC_00021248	390	0.497030540082663	0.474337711827444	-0.0226928282552189	0.22928704628381	0.788513836796578	-1.95452581160471	0.0506390653804878	0.395560076153441	Losing
LOC_00021249	120	0.277789053087409	0.28118315415333	0.00339410106592084	0.1847434692358	0.785314284144361	0.201254823669505	0.840499325258406	0.958169774387725	Gaining
LOC_00021250	204	0.276599611694856	0.249966078589471	-0.0266335331053845	0.22914013314784	0.884883975870303	-1.66013232041384	0.0968878361969999	0.504117536871972	Losing
LOC_00021251	235	0.0301615292565118	0.0182234256572451	-0.0119381035992666	0.115116890197735	0.00533141620935574	-1.58975509528588	0.11189001937086	0.528593129187226	Losing
LOC_00021252	884	0.0489621462547557	0.0497320271707454	0.000769880915989774	0.115629539246463	0.0260102918226562	0.197961571047298	0.843075130531397	0.958362442888988	Gaining
LOC_00021253	11	0.0227165752268329	0.0174030263160154	-0.00531354891081746	0.0993867578898959	0.00378787878787879	-0.177317868260745	0.859258716338461	0.963125996506033	Losing
LOC_00021254	256	0.0269630858880812	0.0173813371158799	-0.00958174877220116	0.107423589913878	0.00471348589842739	-1.42713514301771	0.153540944528888	0.577725904423432	Losing
LOC_00021255	670	0.225351105883551	0.241436086868026	0.0160849809844753	0.23110645009973	0.490279971394481	1.80154820188296	0.0716165170679012	0.448509162822851	Gaining
LOC_00021256	507	0.399406734455396	0.38582376427531	-0.0135829701800853	0.244587340592146	0.877620877330572	-1.2504454538177	0.211136869169529	0.647014110974479	Losing
LOC_00021257	368	0.0203175705300212	0.0129349138546153	-0.00738265667540571	0.0898618164936039	0.0033890539326213	-1.57601878044501	0.115021475141028	0.533456662914198	Losing
LOC_00021258	331	0.242512721892135	0.264996732895062	0.0224840110029267	0.2381551131905	0.760040510793243	1.71762311412972	0.0858653815068067	0.482535451439727	Gaining
LOC_00021259	152	0.241250160928679	0.24694825297044	0.00569809204176097	0.184302126910894	0.803036582573953	0.381171926349172	0.703075679004192	0.916849210116206	Gaining
LOC_00021260	271	0.23279762916993	0.221062435432527	-0.0117351937374031	0.190436784499135	0.831439150635847	-1.01443463694964	0.310375403711674	0.719961176149251	Losing
LOC_00021261	128	0.307676421144079	0.339008224981176	0.0313318038370967	0.225002792084582	0.738726914762678	1.57544220707729	0.115154408503561	0.533657972959739	Gaining
LOC_00021262	363	0.32582851588728	0.331616943834858	0.00578842794757768	0.238764996206111	0.883869816903768	0.46189502676312	0.644156600586373	0.897978035534515	Gaining
LOC_00021263	220	0.347127267665814	0.352810268629561	0.00568300096374674	0.24541845933511	0.86715937504045	0.343464491331946	0.731249049690027	0.926267619103554	Gaining
LOC_00021264	47	0.30215866012309	0.290402927917562	-0.0117557322055284	0.293775026390365	0.928737548462655	-0.274336592072404	0.783825966368508	0.944073961732199	Losing
LOC_00021265	1447	0.13400379599178	0.127610010863729	-0.00639378512805078	0.157429099823457	0.226519284585112	-1.54492460696707	0.12236450067272	0.544044433656031	Losing
LOC_00021266	82	0.378818726044267	0.369662520723161	-0.00915620532110595	0.19766004049525	0.584209897858496	-0.419472572092639	0.674870795811614	0.907722960863603	Losing
LOC_00021267	190	0.317132571694041	0.31530417418863	-0.00182839750541102	0.213431804074377	0.809796395548294	-0.118083246599944	0.906001697848787	0.976158695204247	Losing
LOC_00021268	16	0.32881666096676	0.380350845338056	0.0515341843712967	0.180037149503017	0.921600218711099	1.14496779167087	0.252222499678903	0.689325134342927	Gaining
LOC_00021269	154	0.286673646329023	0.258419253459379	-0.0282543928696447	0.245428818116148	0.859210252342093	-1.42863334986183	0.153109643508873	0.577473281437033	Losing
XLOC_022757U_lncRNA	95	0.0269216453573768	0.0143372251011362	-0.0125844202562406	0.0908975871305415	0.00417781145037771	-1.34940607400362	0.177206570915135	0.608562652411155	Losing
LOC_00021270	186	0.291378673190228	0.296836901597577	0.00545822840734988	0.216910355210186	0.853030140943458	0.34318467963853	0.731459529474423	0.926267619103554	Gaining
LOC_00021271	24	0.470182157341246	0.446975222072402	-0.0232069352688435	0.282666102769051	0.750909728690844	-0.402207051681114	0.687531652971472	0.911296259859427	Losing
LOC_00021272	979	0.334021370062005	0.325039218723683	-0.00898215133832237	0.240073050904653	0.891512429055333	-1.17065332342999	0.241738154275938	0.677642823953834	Losing
LOC_00021273	147	0.0211925355615115	0.0193166766702956	-0.00187585889121581	0.10715688937037	0.00374038319459909	-0.212245619348839	0.831915418282683	0.955147176127467	Losing
LOC_00021274	15	0.00000000346619761090596	0.00000000346619761090596	0	0	0				Losing
LOC_00021275	1184	0.0434303005408283	0.0339348000895533	-0.009495500451275	0.133370758414416	0.0134250020769269	-2.44981387003611	0.014293007806638	0.244542985471013	Losing
LOC_00021276	496	0.0170498017855187	0.0133479945414562	-0.00370180724406243	0.091655262668623	0.0030480878329895	-0.899491850285763	0.368390734815456	0.755616634430426	Losing
LOC_00021277	432	0.279247490956142	0.289761066442601	0.0105135754864581	0.20908348970232	0.54322054912486	1.04513543012023	0.295960381046692	0.719961176149251	Gaining
LOC_00021278	607	0.112719712003271	0.104236202716623	-0.00848350928664825	0.148134855908327	0.160229817176093	-1.41095325487704	0.158258397779849	0.584571101779081	Losing
LOC_00021279	224	0.242767812233467	0.27035681531099	0.027589003077523	0.225866169833072	0.708513263023219	1.82813738303589	0.0675289357181704	0.440587349788648	Gaining
LOC_00021280	39	0.165631922747886	0.268393645140662	0.102761722392777	0.185005647093627	0.635596538672523	3.46879547049766	0.00052279729426375	0.0474892249928963	Gaining
LOC_00021281	12	0.00776427967697192	0.00000000346619761090596	-0.00776427621077431	0.0268962417621189	0.000992063492063492	-1	0.317310507862914	0.719961176149251	Losing
XLOC_023536U_lncRNA	52	0.544928589053554	0.636744124500222	0.091815535446669	0.260012209281747	0.59375439716755	2.54638520130744	0.0108845005844909	0.217863943995206	Gaining
LOC_00021282	996	0.0263383491133046	0.0178125086807419	-0.00852584043256283	0.111713391667691	0.00501121502735708	-2.40858308503969	0.0160145806298134	0.257682012019036	Losing
LOC_00021284	603	0.0242435288075771	0.0167494402669573	-0.00749408854061972	0.102582891886739	0.00432705627032415	-1.79391779507483	0.072826290693217	0.450902332893085	Losing
LOC_00021285	612	0.297673265758682	0.301698762084136	0.00402549632545422	0.229074307196581	0.889085169820777	0.434729151824266	0.663759035747359	0.904932497887373	Gaining
LOC_00021286	136	0.0264802890486256	0.0167626115733725	-0.00971767747525319	0.112098349441056	0.00545222985885685	-1.01095707778673	0.312036973594807	0.719961176149251	Losing
LOC_00021287	871	0.191481363681774	0.195510984181183	0.00402962049940853	0.210384067838439	0.837251065598056	0.565275778304417	0.571886201041644	0.865246007539103	Gaining
LOC_00021288	752	0.267635541993071	0.270270759483311	0.00263521749023997	0.216915509300268	0.693050456011217	0.333146135438618	0.739023975462463	0.929944038070701	Gaining
LOC_00021289	134	0.241935248472403	0.221824952226779	-0.0201102962456244	0.199693050761634	0.425952522708463	-1.16575668766771	0.243712833435692	0.679738651930175	Losing
LOC_00021290	552	0.352045997485058	0.367213627394212	0.015167629909154	0.254295864904274	0.90759642504907	1.40135434362647	0.16110813796282	0.587366152500028	Gaining
LOC_00021291	2555	0.321200925876384	0.307639208701129	-0.0135617171752539	0.238599128249221	0.897544068999529	-2.87303742138505	0.00406545957607948	0.140027031130247	Losing
LOC_00021292	52	0.389635647396098	0.345672400585677	-0.0439632468104207	0.248238690471398	0.253770657547407	-1.27709133745301	0.201570002785071	0.637704981999024	Losing
LOC_00021293	2240	0.57507695262573	0.553341900369108	-0.0217350522566205	0.223254723190563	0.816519586794113	-4.60769837797337	0.00000407150692569903	0.00210647376792851	Losing
XLOC_023545U_lncRNA	315	0.187679431185294	0.188220137311578	0.000540706126283836	0.164250646743037	0.343140941885915	0.0584264472451737	0.953408948895522	0.988937394297617	Gaining
LOC_00021294	1424	0.0231203145661967	0.0232596378004888	0.000139323234292199	0.104519831610263	0.00436390057145887	0.0503013731775147	0.959882229519426	0.991374264650125	Gaining
LOC_00021295	219	0.0272268489454134	0.0151030398218594	-0.0121238091235538	0.0997808533099833	0.00448129611006926	-1.79810038502412	0.07216110124632	0.449806717800201	Losing
LOC_00021296	529	0.0233434172759837	0.026059144698167	0.00271572742218328	0.108636740310438	0.00479737132595503	0.57495954436525	0.565318657859559	0.862650799670817	Gaining
XLOC_023547U_lncRNA	20	0.015477174750404	0.0207815397176699	0.00530436496726592	0.101041677006915	0.00277777777777778	0.234772838211371	0.814385050539504	0.951367982149586	Gaining
LOC_00021297	1008	0.311302335592295	0.306164851826064	-0.00513748376623098	0.243017404330649	0.909331896202788	-0.671186713438091	0.502101591743027	0.835059369079394	Losing
LOC_00021298	1071	0.318867316474144	0.299021672351253	-0.0198456441228908	0.185586365936049	0.439470925789561	-3.49956340878071	0.000466020751750199	0.0458298672351363	Losing
LOC_00021299	70	0.480755611224683	0.496407685722877	0.0156520744981936	0.270762724021918	0.869679142416797	0.48365095720901	0.628633604120088	0.891926954301422	Gaining
LOC_00021300	282	0.321587839932245	0.309967059864625	-0.0116207800676203	0.213002596156774	0.721973614666561	-0.916167621577861	0.359578984973107	0.750734298041494	Losing
LOC_00021301	2193	0.0198246900747526	0.0174390163674653	-0.00238567370728728	0.0972631754227979	0.00377780069900398	-1.14863465701724	0.25070666009254	0.687605178594246	Losing
LOC_00021302	246	0.018599488685039	0.0126440753645289	-0.00595541332050997	0.104611324422728	0.00382133006892314	-0.892895760770864	0.371912997522797	0.757537922555468	Losing
LOC_00021303	298	0.376421160362306	0.400021942170782	0.0236007818084759	0.223672278906224	0.85246078142175	1.82147141137741	0.0685352285808355	0.442264074022588	Gaining
XLOC_023159U_lncRNA	7	0.425511470858924	0.528358211932798	0.102846741073874	0.24373434451871	0.903204615179405	1.11640770434811	0.264247657174209	0.700783373421998	Gaining
LOC_00021305	16	0.138536834151076	0.219029511990204	0.0804926778391286	0.250549882604227	0.0254790215246178	1.28505632495189	0.198772602166452	0.635214249123269	Gaining
LOC_00021306	786	0.352524678812598	0.33869505801254	-0.0138296208000569	0.200161496773542	0.604576348750079	-1.9370507769191	0.0527391367439298	0.402159152633382	Losing
LOC_00021308	8	0.162719285597283	0.201564547156013	0.0388452615587298	0.384922162512299	0.962760416666667	0.285436906889094	0.775309435447593	0.942265475013835	Gaining
LOC_00021309	202	0.35666511496832	0.316680049559564	-0.0399850654087566	0.263340777327006	0.857012301407751	-2.15801958772772	0.0309263089098956	0.332436867997564	Losing
LOC_00021310	70	0.441815824165829	0.471090319846428	0.0292744956805985	0.193045570099463	0.672161762859388	1.26875744003252	0.204527588850494	0.641733960059712	Gaining
LOC_00021311	87	0.264353682907112	0.25843595775519	-0.00591772515192187	0.204483776760734	0.734196058077128	-0.269932737444295	0.787212000861135	0.94464259101431	Losing
LOC_00021312	635	0.0220351171501386	0.0217226535877458	-0.000312463562392866	0.103165124327812	0.00420156936166845	-0.076322631632966	0.939162420916599	0.985662336367772	Losing
LOC_00021313	10	0.00000000346619761090596	0.00000000346619761090596	0	0	0				Losing
LOC_00021314	160	0.0177348552856247	0.0105230176918361	-0.00721183759378863	0.0774383859700585	0.0029246981505813	-1.17801178967847	0.238791906127763	0.674541077024883	Losing
LOC_00021316	376	0.024943410178247	0.0118792085981817	-0.0130642015800651	0.106525154810525	0.00454039633309729	-2.37806992970082	0.0174035250889934	0.263656888344386	Losing
LOC_00021317	1480	0.021114033732633	0.0196484254040475	-0.0014656083285855	0.0919314471915545	0.00351246923422831	-0.613316551529632	0.539667051333472	0.853028296173936	Losing
LOC_00021318	1933	0.0192418956627677	0.0216522178236018	0.00241032216083402	0.0887588521017409	0.00514476057150375	1.19393131655712	0.232504836156095	0.670137548926349	Gaining
LOC_00021319	1060	0.0360749542407155	0.0353671463427477	-0.000707807897967802	0.108482253141805	0.0120243675160402	-0.212426963006727	0.831773952313282	0.955147176127467	Losing
LOC_00021320	312	0.101491325126667	0.106255399597445	0.00476407447077842	0.134066888951576	0.110040909328235	0.62767424237747	0.530217362224299	0.847519802096615	Gaining
LOC_00021321	496	0.411292862601517	0.401275409528508	-0.010017453073009	0.220615161335955	0.715501086912389	-1.01125993133876	0.311892038241249	0.719961176149251	Losing
LOC_00021322	469	0.0955726952192229	0.100639585341179	0.00506689012195591	0.134805015975086	0.23772099495046	0.813995221954804	0.415647688188351	0.783918542453884	Gaining
LOC_00021323	219	0.0364785323549482	0.0222731410571382	-0.0142053912978099	0.125136453501109	0.00706997864271962	-1.67993089123727	0.0929707626225638	0.496460063068143	Losing
LOC_00021324	222	0.327851753652069	0.313228392186442	-0.0146233614656267	0.233408373671426	0.877451880378075	-0.933484841126652	0.350569693629821	0.743922117191273	Losing
LOC_00021325	99	0.222553851519354	0.240009398868921	0.0174555473495665	0.200095075256088	0.81225415880235	0.867989894224547	0.38539986496843	0.765748153813965	Gaining
LOC_00021326	187	0.598380370557422	0.600810563600193	0.00243019304277063	0.177686189531914	0.755128260783522	0.18702854809646	0.851638249721535	0.96157788713933	Gaining
LOC_00021327	117	0.361607565033205	0.381493584774432	0.0198860197412269	0.237177007552855	0.795859920241166	0.906918397128835	0.364449951682449	0.753953638301094	Gaining
LOC_00021328	23	0.00614959212165948	0.0102258025250256	0.00407621040336612	0.0583637477051984	0.000869565217391304	0.334947961992806	0.737664341233187	0.929166595586356	Gaining
LOC_00021329	140	0.536273864794546	0.515177489511122	-0.0210963752834236	0.212603317374409	0.547973209048462	-1.17409117460899	0.240358508053762	0.67700784084339	Losing
LOC_00021330	5162	0.140556729160254	0.136630038587398	-0.00392669057285596	0.114412422983559	0.146418765531397	-2.46582639363006	0.0136697569984966	0.240478673652318	Losing
LOC_00021331	8	0.788029374924808	0.765888332198403	-0.0221410427264052	0.100504345513522	0.736086084732761	-0.623100677861765	0.533218364310016	0.848947274030912	Losing
LOC_00021332	5	0.00000000346619761090596	0.00000000346619761090596	0	0	0				Losing
LOC_00021335	462	0.389790633778869	0.373959346485332	-0.0158312872935368	0.255602307202608	0.885175412063144	-1.33128932097266	0.183093830696807	0.61573981659705	Losing
XLOC_023567U_lncRNA	108	0.0142892807377542	0.0255670986721491	0.011277817934395	0.086193516280734	0.00216837871768135	1.35976030474926	0.173905787719628	0.603226283580008	Gaining
LOC_00021336	10	0.00000000346619761090596	0.015649109410148	0.0156491059439504	0.0494868181281625	0	1	0.317310507862914	0.719961176149251	Gaining
LOC_00021337	100	0.281643149837959	0.289996702841813	0.00835355300385401	0.209270465263083	0.810370945596977	0.39917496209283	0.689764290643844	0.912474321568692	Gaining
LOC_00021338	90	0.500164343532129	0.528338987062899	0.0281746435307707	0.227718370690324	0.855662537935951	1.17376624754257	0.240488666833243	0.67700784084339	Gaining
LOC_00021339	103	0.510507527496729	0.542316229013916	0.0318087015171868	0.191926715036203	0.853837166541944	1.68201212876185	0.0925664880316116	0.495514739851984	Gaining
LOC_00021340	2428	0.165548138708228	0.164156156558532	-0.00139198214969639	0.150458020341031	0.240077926551313	-0.455871733033971	0.648482217272548	0.899439495173652	Losing
LOC_00021342	444	0.439403193125603	0.451432840172777	0.0120296470471732	0.211511760640958	0.861096385624991	1.19842221230607	0.230752689382246	0.668198264216185	Gaining
LOC_00021343	297	0.422406861933299	0.404575806224039	-0.0178310557092593	0.200556472856377	0.840784997585129	-1.53221107925702	0.125470355398707	0.547102787330934	Losing
LOC_00021344	343	0.298308607124764	0.284397052535881	-0.0139115545888828	0.217145773324848	0.870449648810395	-1.18650983900086	0.235421018255396	0.671927578384922	Losing
LOC_00021345	421	0.282159227365189	0.285180343541742	0.00302111617655284	0.204782641213202	0.884401112553773	0.302702030491843	0.762116950239811	0.937338132799747	Gaining
XLOC_023575U_lncRNA	386	0.0182861474587033	0.0163306910576378	-0.00195545640106541	0.0789650296826191	0.00286079062886862	-0.486527044942454	0.626593535062427	0.89109922664163	Losing
LOC_00021346	960	0.0274880671227793	0.0256402233245056	-0.00184784379827369	0.100551261062851	0.00775980872275664	-0.569394609790786	0.569088373997795	0.864086132496821	Losing
LOC_00021347	2794	0.174490388527952	0.167792904082298	-0.00669748444565421	0.130432828717669	0.213548248240354	-2.71417597262055	0.00664408625945709	0.175496791219555	Losing
LOC_00021348	1669	0.211716715799428	0.199854411581289	-0.0118623042181386	0.155207032579044	0.342608577154079	-3.12238053111042	0.00179394898391824	0.0932187595377077	Losing
LOC_00021350	239	0.343914233198774	0.335358184325185	-0.0085560488735886	0.218691223077834	0.8931281206737	-0.604840485974827	0.545284990037167	0.854551556179889	Losing
LOC_00021349	28	0.32058789347831	0.36452565266225	0.0439377591839407	0.237591200069623	0.930986959483	0.978557993158722	0.327798423540624	0.72739157872665	Gaining
