baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_id
492.265980539525	-0.198679491910519	0.149107181219339	0.0524493588182585	0.208170269929261	LOC_00000233
74.1300185191871	-0.0165019634403219	0.132990179032253	0.835216322203288	0.921434914033929	LOC_00000236
397.287646986277	-0.0201764666689516	0.113464481443046	0.80732936326278	0.906706507106674	LOC_00000239
3546.52456198156	-0.263996405514563	0.169285548397781	0.0207772359582903	0.120027229611389	LOC_00000240
69.8038786969351	-0.337252987938058	0.273182599912244	0.0176771366330736	0.109402250624252	LOC_00000244
4405.4323370575	0.0909577121375927	0.0749266292824752	0.172749300974872	0.415105154673235	LOC_00000245
762.216830711698	0.0645433270504833	0.101056713986868	0.42519838341112	0.663501786507007	LOC_00000246
562.185755245037	-0.132346567284655	0.115312399759315	0.132303268112958	0.356860477103081	LOC_00000247
2562.15900153218	-0.00162985986215664	0.0724066223478995	0.978633150864417	0.989946656855462	LOC_00000248
405.071371350113	0.0545199621306738	0.106916561409638	0.50925805579042	0.729765836304365	LOC_00000249
13723.6930323894	1.24917141334724	0.14216722508303	0.0000000000000000000987565840446199	0.0000000000000000303667833078957	LOC_00000250
77144.3040368403	0.253250477606291	0.119895574786334	0.00853874575005223	0.0687453361328275	LOC_00000251
5800.90192536226	-0.047070963284302	0.101800646061831	0.55807692820371	0.762148536748202	LOC_00000253
1282.77880505332	0.0103830463247867	0.0825791707887076	0.885474100313204	0.947421070520086	LOC_00000254
4651.75753707013	-0.16785891304764	0.136767372329706	0.0908685326234018	0.286242410368505	LOC_00000255
82.0576409760735	0.140138561954187	0.170247901769554	0.147915198399397	0.379966243931735	LOC_00000256
7982.74175673196	-0.357174601201652	0.101077773621509	0.0000607594094667202	0.00203619535319924	LOC_00000257
959.92827793653	0.00664169437012331	0.0956465585780386	0.937304939122715	0.971964481600037	LOC_00000258
1405.9734980309	0.0253776704573879	0.104823229897235	0.756578988196257	0.882390200034322	LOC_00000259
4443.01330794487	0.895617553313617	0.117103021780667	0.0000000000000014082133713179	0.000000000000304713034062824	LOC_00000260
4465.97351038103	-0.10485387051574	0.0966311480705301	0.186162724685365	0.432184732133264	LOC_00000262
2335.40019108591	0.123214705873801	0.134832825348667	0.187246234225565	0.433672881283712	LOC_00000263
1707.21439794863	0.0153383300813437	0.107957390090143	0.852771911661572	0.930846028587965	LOC_00000264
152.971990799245	0.322149285514869	0.170921370257907	0.00828127428449463	0.0672282975379052	LOC_00000265
5882.5586796934	-0.0284488522947069	0.0913655035984514	0.707954240909107	0.855915986074098	LOC_00000266
184.044989892967	-0.0386105839176988	0.118360276922062	0.644301891653259	0.820778211350335	LOC_00000267
104.426602513332	-0.160731094765571	0.253878884255557	0.0485120769288515	0.198986934783988	LOC_00000268
9174.72008179681	0.132410374490069	0.100626623560453	0.108049443061314	0.317375999419417	LOC_00000271
892.093566199342	0.127153269255073	0.0955707108420324	0.109596542819734	0.319829937729185	LOC_00000276
617.010721196902	0.0512134750410379	0.135417372991132	0.53338543574511	0.746810916974631	LOC_00000277
4187.57050950623	-0.0259408649525958	0.0892461895504187	0.729140941416159	0.867413418335901	LOC_00000278
343.078442637493	-0.153270078129298	0.130289725187824	0.102118377486004	0.306425064577504	LOC_00000279
1200.81186354909	0.0855692999778555	0.10601902944237	0.301355596055654	0.555835666401816	LOC_00000280
12629.4684312812	0.098373691437097	0.115095789670228	0.248500495144466	0.501200001320576	LOC_00000281
46.6147241188812	0.122968571098668	0.183301765689846	0.160051740283636	0.398017430753587	LOC_00000283
771.681288126357	0.35011335227851	0.113294953546579	0.000314220690204924	0.00736912875816274	LOC_00000284
533.687512195493	0.113944979111875	0.153255306516216	0.215369071860224	0.465679978267523	LOC_00000285
70.8791600490437	0.026873375009993	0.140096850729028	0.727843711626597	0.866985940536825	LOC_00000289
576.020506518251	-0.0414622312685575	0.131372098870937	0.614864612257775	0.801521555044254	LOC_00000291
50.5266893899935	0.207616398744909	0.251639599116116	0.0559852633333305	0.216013472296479	LOC_00000292
188.000753805565	-0.0158279284260284	0.115178658321713	0.847614698872974	0.927523433049049	LOC_00000294
2408.5551194807	-0.0602679780462207	0.0923790569735077	0.432473832849011	0.668950765311747	LOC_00000295
229.139358160154	-0.238671887487016	0.175588972462364	0.0335784104351062	0.160449509186507	LOC_00000296
645.510772068711	-0.281788236464347	0.156026239891862	0.012182856670296	0.0865540854723461	LOC_00000297
115.177626052475	-0.085762833460118	0.141200523836709	0.326302639669416	0.577262455638862	LOC_00000298
8745.05947276829	-0.0873593540982796	0.0967618557117588	0.269639675475365	0.524875251955815	LOC_00000299
124.883866600705	-0.230464374240089	0.21462585805963	0.0458273461277915	0.193592647766161	LOC_00000300
427.120450557264	-0.234407916123295	0.143465295769746	0.0242069069152437	0.131191854515608	LOC_00000301
3569.28353814868	-0.145264258547195	0.10701751436679	0.0877132201449961	0.281621020074932	LOC_00000302
3482.57565436829	-0.251639388906911	0.124701615773939	0.00998435766106266	0.0759201027008439	LOC_00000303
84.7680090328249	0.148251059893441	0.215155693910031	0.0958005815030278	0.295288462850723	LOC_00000304
1906.83813287667	-0.10914716304873	0.0993847161642357	0.176382482007526	0.420291123378331	LOC_00000305
25040.4383170733	0.395784628542183	0.185836954656899	0.00366088834892121	0.0396076482046555	LOC_00000306
545.332062138237	0.125582649860044	0.134688203646584	0.174932347500791	0.418457657246672	LOC_00000307
314.930859352033	-0.110846333658665	0.121366199509913	0.210548741609673	0.460959318441771	LOC_00000308
126.640494825098	0.103291905497324	0.138580115345575	0.256743779418835	0.509725265798373	LOC_00000310
12550.4619908058	0.297554323590753	0.134167121274085	0.00488598026656575	0.0484560749145332	LOC_00000311
