motif_id	motif_name	tf_class
MA0821.2	HES5	Hairy-related factors
MA0831.3	TFE3	bHLH-ZIP
MA0878.3	CDX1	HOX
MA0884.2	DUXA	Paired-related HD factors
MA1511.2	KLF10	Three-zinc finger Kruppel-related
MA1532.2	NR1D2	Thyroid hormone receptor-related factors (NR1)
MA1547.2	PITX2	Paired-related HD factors
MA1563.2	SOX18	SOX-related factors
MA1573.2	Thap11	THAP-related factors
MA1601.2	ZNF75D	More than 3 adjacent zinc fingers
MA1633.2	BACH1	Jun-related
MA2127.1	atf-2	CEBP-related
MA2128.1	ceh-18	POU domain factors
MA2129.1	ceh-23	NK
MA2130.1	dmd-10	DMRT factors
MA2131.1	egl-38	Paired domain only
MA2132.1	egrh-1	Three-zinc finger Kruppel-related
MA2133.1	elt-7	C4-GATA-related
MA2134.1	end-3	C4-GATA-related
MA2135.1	jun-1	Jun-related
MA2136.1	klf-3	Three-zinc finger Kruppel-related
MA2137.1	klu-1	More than 3 adjacent zinc fingers
MA2138.1	klu-2	Three-zinc finger Kruppel-related
MA2139.1	let-381	FOX
MA2140.1	lin-31	FOX
MA2141.1	lin-48	More than 3 adjacent zinc fingers
MA2142.1	nhr-142	RXR-related receptors (NR2)
MA2143.1	nhr-25	FTZF1related(NR5A)
MA2144.1	nhr-5	RXR-related receptors (NR2)
MA2145.1	nhr-70	RXR-related receptors (NR2)
MA2146.1	nhr-86	Steroid hormone receptors (NR3)
MA2147.1	nsy-7	Paired-related HD factors
MA2148.1	odd-2	More than 3 adjacent zinc fingers
MA2149.1	odr-7	RXR-related receptors (NR2)
MA2150.1	pag-3	More than 3 adjacent zinc fingers
MA2151.1	pax-2	Paired domain only
MA2152.1	ref-1	Hairy-related factors
MA2153.1	sex-1	Thyroid hormone receptor-related factors (NR1)
MA2154.1	snai-1	More than 3 adjacent zinc fingers
MA2155.1	sptf-3	Three-zinc finger Kruppel-related
MA2156.1	xbp-1	XBP-1-related factors
MA2157.1	atfs-1	ATF-4-related
MA2158.1	ceh-14	HD-LIM
MA2159.1	ceh-36	Paired-related HD factors
MA2160.1	ceh-39	HD-CUT
MA2161.1	ceh-43	NK
MA2162.1	ceh-60	TALE-type homeo domain factors
MA2163.1	cnd-1	Tal-related
MA2164.1	egl-27	C4-GATA-related
MA2165.1	elt-1	C4-GATA-related
MA2166.1	ets-7	Ets-related
MA2167.1	fkh-3	FOX
MA2168.1	hif-1	PAS domain factors
MA2169.1	hsf-1	HSF factors
MA2170.1	lin-32	Tal-related
MA2171.1	lsl-1	More than 3 adjacent zinc fingers
MA2172.1	mdl-1	bHLH-ZIP
MA2173.1	mef-2	Regulators of differentiation
MA2174.1	mls-2	NK
MA2175.1	mxl-1	bHLH-ZIP
MA2176.1	mxl-3	bHLH-ZIP
MA2177.1	nfya-1	Heteromeric CCAAT-binding
MA2178.1	sta-1	STAT factors
MA2179.1	ceh-10	Paired-related HD factors
MA2180.1	F10B5.3	Three-zinc finger Kruppel-related
MA2181.1	lsy-2	More than 3 adjacent zinc fingers
MA2182.1	nfi-1	Nuclear factor 1
MA2183.1	nhr-33	RXR-related receptors (NR2)
MA2184.1	sox-3	SOX-related factors
MA2185.1	tbx-37	TBX6-related factors
MA2186.1	tbx-38	TBX6-related factors
MA2187.1	ztf-6	Factors with multiple dispersed zinc fingers
MA2188.1	acj6	POU domain factors
MA2189.1	Adf1	More than 3 adjacent zinc fingers
MA2190.1	Aef1	More than 3 adjacent zinc fingers
MA2191.1	amos	Tal-related
MA2192.1	Atf-2	Jun-related
MA2193.1	Atf3	Fos-related
MA2194.1	Atf6	Jun-related
MA2195.1	ato	Tal-related
MA2196.1	bigmax	bHLH-ZIP
MA2197.1	bin	FOX
MA2198.1	Blimp-1	More than 3 adjacent zinc fingers
MA2199.1	bowl	More than 3 adjacent zinc fingers
MA2200.1	bs	Responders to external signals (SRF/RLM1)
MA2201.1	Bteb2	Three-zinc finger Kruppel-related
MA2202.1	byn	Brachyury-related factors
MA2203.1	CG12605	More than 3 adjacent zinc fingers
MA2204.1	CG4360	More than 3 adjacent zinc fingers
MA2205.1	CG7928	More than 3 adjacent zinc fingers
MA2206.1	CHES-1-like	FOX
MA2207.1	ci	More than 3 adjacent zinc fingers
MA2208.1	crc	ATF-4-related factors
MA2209.1	CrebA	CREB-related factors
MA2210.1	CrebB	CREB-related factors
MA2211.1	croc	FOX
MA2212.1	dar1	Three-zinc finger Kruppel-related
MA2213.1	Dif	NF-kappaB-related factors
MA2214.1	dimm	Tal-related
MA2215.1	dm	bHLH-ZIP
MA2216.1	Doc2	TBX6-related factors
MA2217.1	dpn	Hairy-related factors
MA2218.1	dsf	RXR-related receptors (NR2)
MA2219.1	E(spl)m3-HLH	Hairy-related factors
MA2220.1	E(spl)mbeta-HLH	Hairy-related factors
MA2221.1	E(spl)mdelta-HLH	Hairy-related factors
MA2222.1	E(spl)mgamma-HLH	Hairy-related factors
MA2223.1	EcR	Thyroid hormone receptor-related factors (NR1)
MA2224.1	Eip75B	Thyroid hormone receptor-related factors (NR1)
