motif_id	motif_name	tf_class
MA2225.1	erm	More than 3 adjacent zinc fingers
MA2226.1	ERR	Steroid hormone receptors (NR3)
MA2227.1	esg	More than 3 adjacent zinc fingers
MA2228.1	Ets65A	Ets-related
MA2229.1	Ets96B	Ets-related
MA2230.1	Ets97D	Ets-related
MA2231.1	Ets98B	Ets-related
MA2232.1	fd59A	FOX
MA2233.1	Fer1	Tal-related
MA2234.1	Fer2	Tal-related
MA2235.1	FoxL1	FOX
MA2236.1	foxo	FOX
MA2237.1	FoxP	FOX
MA2238.1	GATAe	C4-GATA-related
MA2239.1	gsb	Paired plus homeo domain
MA2240.1	Hey	Hairy-related factors
MA2241.1	HLH4C	Tal-related
MA2242.1	Hnf4	RXR-related receptors (NR2)
MA2243.1	Hr38	NGFI-B-related receptors (NR4)
MA2244.1	Hr39	GCNF-related receptors (NR6)
MA2245.1	Hr78	RXR-related receptors (NR2)
MA2246.1	Jra	Jun-related
MA2247.1	Kah	More than 3 adjacent zinc fingers
MA2248.1	kay	Fos-related
MA2249.1	ken	Other factors with up to three adjacent zinc fingers
MA2250.1	klu	More than 3 adjacent zinc fingers
MA2251.1	knrl	Thyroid hormone receptor-related factors (NR1)
MA2252.1	lmd	More than 3 adjacent zinc fingers
MA2253.1	luna	Three-zinc finger Kruppel-related
MA2254.1	lz	Runt-related factors
MA2255.1	Max	bHLH-ZIP
MA2256.1	mid	TBX1-related factors
MA2257.1	Mitf	bHLH-ZIP
MA2258.1	Mnt	bHLH-ZIP
MA2259.1	org-1	TBX1-related factors
MA2260.1	pdm3	POU domain factors
MA2261.1	phol	More than 3 adjacent zinc fingers
MA2262.1	pnt	Ets-related
MA2263.1	Poxm	Paired domain only
MA2264.1	Rel	NF-kappaB-related factors
MA2265.1	retn	ARID-related
MA2266.1	Rfx	RFX-related factors
MA2267.1	rib	Other factors with up to three adjacent zinc fingers
MA2268.1	sage	TALE-type homeo domain factors
MA2269.1	sc	MyoD/ASC-related factors
MA2270.1	scrt	More than 3 adjacent zinc fingers
MA2271.1	sens	More than 3 adjacent zinc fingers
MA2272.1	slp2	FOX
MA2273.1	Sox102F	SOX-related factors
MA2274.1	Sox14	SOX-related factors
MA2275.1	Sox15	SOX-related factors
MA2276.1	Sox21a	SOX-related factors
MA2277.1	Sox21b	SOX-related factors
MA2278.1	SoxN	SOX-related factors
MA2279.1	Sp1	Three-zinc finger Kruppel-related
MA2280.1	Spps	Three-zinc finger Kruppel-related
MA2281.1	SREBP	bHLH-ZIP
MA2282.1	SREBP	bHLH-ZIP
MA2283.1	srp	C4-GATA-related
MA2284.1	ss	PAS domain factors
MA2285.1	sug	More than 3 adjacent zinc fingers
MA2286.1	svp	RXR-related receptors (NR2)
MA2287.1	TfAP-2	AP-2
MA2288.1	tj	Maf-related
MA2289.1	toy	Paired plus homeo domain
MA2290.1	Usf	bHLH-ZIP
MA2291.1	vri	CEBP-related
MA2292.1	wor	More than 3 adjacent zinc fingers
MA2293.1	Xbp1	XBP-1-related factors
MA2294.1	Xrp1	
MA2295.1	ac	MyoD/ASC-related factors
MA2296.1	aop	Ets-related
MA2297.1	BtbVII	More than 3 adjacent zinc fingers
MA2298.1	CG3065	Three-zinc finger Kruppel-related
MA2299.1	CG4854	More than 3 adjacent zinc fingers
MA2300.1	CG8319	More than 3 adjacent zinc fingers
MA2301.1	clk	PAS domain factors
MA2302.1	Crg-1	FOX
MA2303.1	crp	bHLH-ZIP
MA2304.1	cwo	Hairy-related factors
MA2305.1	cyc	PAS domain factors
MA2306.1	D1	HMGA
MA2307.1	D19B	More than 3 adjacent zinc fingers
MA2308.1	da	E2A
MA2309.1	ewg	Jun-related
MA2310.1	fru	Factors with multiple dispersed zinc fingers
MA2311.1	ftz-f1	FTZF1related(NR5A)
MA2312.1	grn	C4-GATA-related
