gene_id	mean_beta	n_cpgs	expression	prom_beta	exon_beta	down_beta	intron_beta
LOC_00018411	0.00331015611872055	773	5.7933975732955	0.00154072311980394	0.00419383565119648	0.00316798941798942	0.00285182331602185
LOC_00018412	0.004616056363201	188	10.2049811557914	0.0010536398467433	0.00436411324273064	0.00273000273000273	0.00589870320010889
LOC_00018413	0.863946922204358	189	9.8794261608968	0.00216399166870865	0.857517820770685	0.0390248161188059	0.85765914522348
LOC_00018414	0.871778167063043	255	6.20992146346013	0.00364403785957334	0.865836417718313	0.743737041386816	0.876135889741509
LOC_00018415	0.0191648800928498	1135	1.6427437255217	0.00275966129624666	0.0153114862461094	0.00208333333333333	0.0198416810111109
LOC_00018416	0.0786569687258613	4616	8.14046350917736	0.00210231357620187	0.713710598971888	0.00317653576582148	0.0383461680319011
LOC_00018417	0.0668795264233971	10621	12.3461311614933	0.00173010380622837	0.641887457011289	0.797951477688829	0.0506138516410075
LOC_00018418	0.826683473868771	982	4.70350383664809	0.00179937022042285	0.819734260521113	0.901856074299408	0.827089883005223
LOC_00018419	0.841260771572277	90	1.82169206241018	0.779641778436587	0.788610347836472	0.922938930136999	0.860406380203479
LOC_00018420	0.506306624150915	775	12.1092186845002	0.00104014978156855	0.858668327101915	0.956504479552313	0.484935251563296
LOC_00018421	0.86086546116996	447	13.037197671342	0.00214697583118636	0.829234777352095	0.90917632858964	0.878328234527739
LOC_00018422	0.406077407300895	2095	9.82394651348012	0.00381992036423137	0.824068383619556	0.897092243170802	0.342440224907921
LOC_00018423	0.780233252043455	152	3.14664215690585	0.00366304672339155	0.775740513829374	0.867989394577778	0.783031910439179
LOC_00018424	0.216632146924645	2810	4.36872855936481	0.00742831649027301	0.735152072615685	0.834836605409166	0.203115070705364
LOC_00018425	0.822659544765788	202	9.27501636033967	0.541412925582633	0.766572982920927	0.00902246072429547	0.855084588332349
LOC_00018426	0.609263301328243	2718	8.68424609629245	0.00565857753357753	0.811745545205472	0.9273835949458	0.582430248056161
LOC_00018427	0.873823876308604	316	6.59072309812781	0.460200670824296	0.714068544646423	0.91253659543836	0.905290835575397
LOC_00018428	0.703620415532968	255	2.36035066115505	0.00681041700426727	0.589828668219002	0.783492688845811	0.709239761079336
LOC_00018429	0.10690472044664	894	8.61980297366852	0.0021927796275743	0.388702555630891	0.0571056223786235	0.0279812930798288
LOC_00018430	0.263915992712755	749	8.42383880627568	0.0145650728240014	0.778774754175866	0.009375	0.182411404631132
LOC_00018432	0.00341766646050573	540	7.78321565108202	0.00213675213675214	0.00381769574330303	0	0.00328486842730915
LOC_00018433	0.834548637441019	349	10.7207671481873	0.00175521821631879	0.809240923809581	0.113361695783911	0.835510567277487
LOC_00018434	0.838426821383409	330	10.2117094978021	0.937935571388244	0.798939046531123	0.138359042904442	0.898521570888897
LOC_00018435	0.795842085692106	123	11.9278855870064	0.528181522473771	0.795842085692106	0.944575564036889	
LOC_00018436	0.884558797312349	633	9.99430931184228	0.00196567867375321	0.886023960782054	0.945045488848919	0.884161614444055
LOC_00018437	0.00276865353681726	539	2.3147785839527	0.00197811447811448	0.00833333333333333	0.00138888888888889	0.00256006625985397
LOC_00018438	0.764400329194558	250	12.2641747659292	0.0028823392601265	0.507541256267949	0.000658761528326746	0.887510299058791
LOC_00018439	0.0396736246651918	196	3.04106187550012	0.0335156845388023	0.0704550763585225	0.933130715622262	0.00471690116646638
LOC_00018441	0.00328013192842486	161	0.932623939810295	0.000990656309805246	0.00389248994980661	0.181332481158333	0.00299622048214787
LOC_00018443	0.86574856466384	250	7.26748123511999	0.00258592603231224	0.862367267327332	0.0896317479976848	0.870915180494084
LOC_00018444	0.00301360784462729	298	3.63534775160151	0.00296530994615672	0.00169234360410831	0	0.00323037775908743
LOC_00018445	0.835932601880878	4	3.65223948335474	0.809391642048385	0.835932601880878	0.865716289196065	
LOC_00018446	0.737068965517241	1	3.71871340910226	0.831442319930523	0.737068965517241	0.793696517511973	
LOC_00018447	0.854681266086469	883	5.93964278405656	0.886622060432657	0.858077195188914	0.857607122971495	0.854526082153919
LOC_00018448	0.821028154151929	222	3.37854406853434	0.00308011182878627	0.586362562107022	0.900227719056976	0.842991928776822
LOC_00018449	0.872900280314928	197	7.37012961110697	0.00150681341719078	0.883718920585508	0.919205638331369	0.877734283441265
LOC_00018450	0.921214195941001	130	2.51534256019962	0.933330977232285	0.926662762538616	0.889940608837662	0.919508079127607
LOC_00018451	0.0026203476666901	406	3.06603178095945	0.00251560300268045	0.00420380005904195	0.00202093268128878	0.00205462956006059
LOC_00018452	0.817155631175749	302	7.52418414374788	0.00295350019967329	0.795985799258807	0.914071378369405	0.83069860757515
LOC_00018453	0.830645218856948	363	4.32926927880447	0.263168607472097	0.830323124587406	0.836177112670344	0.830689645652747
LOC_00018454	0.00341847509044184	328	0.932623939810295	0.00443007662835249	0.0019389968230694	0.00206918505942275	0.00431776580198194
LOC_00018455	0.00385824071181759	365	4.98178490051641	0.00761904761904762	0.00431962481962482	0	0.00368413350132429
LOC_00018456	0.00343949913009674	1045	7.06885601494933	0.00405560797520001	0.00466716763316166	0.00140977443609023	0.00323233957742116
LOC_00018457	0.00376235921628606	464	3.56842117466194	0.000842318059299191	0.00212757642750274	0.00270029790500592	0.00400051275835573
LOC_00018458	0.00349777028668345	715	9.79446057781375	0	0.00290099735492086	0.00179012345679012	0.00348437399259077
LOC_00018459	0.00437612182377714	158	15.940495192538	0.00294059011164274	0.00932019925154937	0	0.00370031267897374
LOC_00018460	0.00330404986808965	2453	7.60982246586234	0.00122221373462684	0.00135555275050833	0.00326794733044733	0.00346298812503522
LOC_00018461	0.004378857491693	3602	5.0725622965863	0	0.00121687255833597	0.00237703118137901	0.00449652737007148
LOC_00018462	0.0027807023095187	130	0.932623939810295	0.00296296296296296	0.00101774042950514	0.00454135426180776	0.00385283377199442
LOC_00018463	0.910474441400409	574	5.32646683800857	0.00166202090592334	0.878846349722836	0.314027140463502	0.918250003552635
LOC_00018464	0.677653501597572	1061	5.12746254462128	0.00302520396270396	0.826614073137376	0.880622383490148	0.660418120209041
LOC_00018465	0.796867420800948	35	5.16716590121629	0.893349828515726	0.796867420800948	0.813409930900584	
LOC_00018466	0.571364968135824	1062	7.62562499396109	0.00232558139534884	0.754192559579238	0.780091851516387	0.560435637650912
LOC_00018467	0.0570101152982585	236	6.66356276674205	0.00228298079756966	0.124261790400069	0.912119873724535	0.00265795735348193
