gene_id	mean_beta	n_cpgs	expression
LOC_00005653	0.00331819155199919	151	1.07614286665468
LOC_00005654	0.0018393848921241	189	1.48386414085735
LOC_00005656	0.803621318275379	104	6.3299577866121
LOC_00005657	0.714542598652172	95	4.56404390640428
LOC_00005658	0.871564693033559	298	8.96958999902195
LOC_00005659	0.00378701940199732	1748	3.84361899009644
LOC_00005660	0.00337590230956017	393	4.09550832948094
LOC_00005662	0.807606325598147	214	8.25596735176649
LOC_00005663	0.0765907406970225	4248	8.4365348860442
LOC_00005664	0.123906093179378	3088	9.69994675200429
LOC_00005667	0.845736559331318	486	5.24579245358513
LOC_00005668	0.00564942102298662	850	7.03289676659481
LOC_00005669	0.69601317985173	510	6.31748602014885
LOC_00005670	0.836552978313081	420	8.20624903553212
LOC_00005672	0.0278915759221736	2328	4.89652428441858
LOC_00005673	0.814106684572889	207	7.42238169554706
LOC_00005675	0.729041795894264	107	6.7038225773055
LOC_00005676	0.808247110207718	170	7.32793605365756
LOC_00005677	0.672023814467117	291	6.0378809050497
LOC_00005678	0.00365936351397004	756	8.36111492142189
XLOC_012402U_lncRNA	0.0043387001054215	131	1.81654449643789
LOC_00005679	0.00699300699300699	12	2.42160193278278
LOC_00005680	0.00135869565217391	16	2.26188559343414
LOC_00005681	0.00376513012343686	473	3.54666858883021
LOC_00005682	0.0028522657687434	1045	2.51359392487883
LOC_00005683	0.00316528544712478	502	4.86607628572042
XLOC_013477U_lncRNA	0	8	0.932623939810295
LOC_00005684	0.190656178947252	2382	11.5258547183627
LOC_00005685	0.104613005177961	405	7.03205307353417
LOC_00005686	0.842741982172197	134	5.42450351248363
LOC_00005687	0.00298197068951241	1124	7.42056452596027
LOC_00005688	0.00407125817789898	867	8.2396573131243
LOC_00005689	0.0030083679164525	449	9.42352799672238
LOC_00005690	0.854717370778275	710	4.4548176115351
LOC_00005691	0.877079796799738	205	2.666149316394
LOC_00005692	0.00252320958210453	142	5.62404114283302
LOC_00005693	0.0025633107289454	208	3.38756814468728
LOC_00005694	0.508771929824562	1	3.64342306113579
LOC_00005695	0.747656507043277	136	3.78009404284195
LOC_00005696	0.749163763220477	90	8.57881979154012
LOC_00005697	0.561440794680627	276	8.45159706925769
LOC_00005699	0.00263157894736842	38	3.124794269406
XLOC_013487U_lncRNA	0.747242243496864	102	4.82405371829255
LOC_00005700	0.00112971823498139	38	2.83328435192717
LOC_00005701	0.00287672094351263	432	0.932623939810295
LOC_00005702	0.0418013396579764	419	1.25168819560726
LOC_00005703	0.895377229556126	229	9.7143595519748
LOC_00005704	0.0032417847095082	2351	3.17195384183822
LOC_00005708	0.0033282655582157	2182	6.11799289000645
LOC_00005709	0.867614153884272	169	9.62410955266434
LOC_00005710	0.0025231149875179	598	2.34100566376936
XLOC_012420U_lncRNA	0.733334660711937	53	1.97623930237281
LOC_00005711	0.866645870588615	344	9.20844028408706
LOC_00005712	0.00744998939838976	3660	8.60026115465704
LOC_00005713	0.00340477756396112	661	5.93503711578841
XLOC_012423U_lncRNA	0.00349896480331263	45	2.29502151710684
LOC_00005714	0.00283134226637066	587	5.57126083010848
LOC_00005715	0.00608451218303257	731	5.67004346852921
LOC_00005716	0.003080960835564	1116	8.03208066790721
LOC_00005717	0.0798359227887079	1516	7.04927083487187
LOC_00005719	0.00261164849153363	276	3.49120722442545
LOC_00005720	0.829626599318825	319	6.81995442380446
LOC_00005721	0.868162539710803	266	7.66654734151128
LOC_00005722	0.839175397094649	324	5.86284295845661
LOC_00005723	0.617721348458947	223	12.4507494947436
LOC_00005724	0.814599127498185	156	9.97678700246355
LOC_00005725	0.728979963568668	408	11.8576682263453
LOC_00005726	0.00298169650829119	2602	6.69398699119736
LOC_00005728	0.678222858218932	182	5.29776929394655
LOC_00005729	0.897396491501663	245	9.92286717564452
LOC_00005730	0.0507951068798049	446	3.4949940978901
LOC_00005731	0.563237660604995	1189	7.93545544920976
LOC_00005732	0.903861589698817	66	8.33509619108091
LOC_00005733	0.946480519480519	5	2.61259275352394
LOC_00005734	0.740294296731926	196	5.13103937961663
LOC_00005735	0.804043336485247	112	5.94359205598175
LOC_00005736	0.833258497076769	158	9.44682562750606
LOC_00005737	0.762787501079833	116	5.07952360796038
LOC_00005739	0.0032658261162802	1712	2.10511682124191
LOC_00005740	0.910578357989472	191	2.80178257296163
LOC_00005741	0	2	2.25047840545657
