gene_id	module
LOC_00000589	grey
LOC_00000590	blue
LOC_00000591	blue
LOC_00000593	green
LOC_00000594	turquoise
LOC_00000595	turquoise
LOC_00000598	turquoise
LOC_00000599	green
LOC_00000600	lightcyan
LOC_00000602	brown
LOC_00000603	red
LOC_00000604	turquoise
LOC_00000606	purple
LOC_00000607	cyan
LOC_00000613	green
LOC_00000616	yellow
LOC_00000618	turquoise
LOC_00000619	green
LOC_00000621	grey60
LOC_00000622	turquoise
LOC_00000623	grey
LOC_00000625	turquoise
LOC_00000627	purple
LOC_00000628	turquoise
LOC_00000629	red
LOC_00000631	yellow
LOC_00000632	turquoise
LOC_00000633	brown
LOC_00000634	pink
LOC_00000637	turquoise
LOC_00000638	blue
LOC_00000641	red
LOC_00000642	red
LOC_00000643	black
LOC_00000644	green
LOC_00000645	red
LOC_00000646	grey
LOC_00000647	black
LOC_00000650	yellow
LOC_00000652	purple
LOC_00000653	grey60
LOC_00000654	turquoise
LOC_00000655	turquoise
LOC_00000659	black
LOC_00000660	grey
LOC_00000661	grey
LOC_00000662	grey
LOC_00000663	brown
LOC_00000664	blue
LOC_00000666	turquoise
LOC_00000668	turquoise
LOC_00000670	black
LOC_00000671	yellow
LOC_00000673	turquoise
LOC_00000675	turquoise
LOC_00000677	black
LOC_00000678	black
LOC_00000679	red
LOC_00000680	red
LOC_00000681	turquoise
LOC_00000682	magenta
LOC_00000683	brown
LOC_00000684	turquoise
LOC_00000686	turquoise
LOC_00000687	blue
LOC_00000688	turquoise
LOC_00000689	turquoise
LOC_00000690	blue
LOC_00000691	purple
LOC_00000692	green
LOC_00000693	turquoise
LOC_00000694	yellow
LOC_00000695	yellow
LOC_00000698	yellow
LOC_00000699	turquoise
LOC_00000701	blue
LOC_00000702	blue
LOC_00000703	red
LOC_00000704	blue
LOC_00000706	turquoise
LOC_00000707	magenta
LOC_00000708	brown
LOC_00000709	brown
LOC_00000710	brown
LOC_00000711	brown
LOC_00000712	yellow
LOC_00000714	brown
LOC_00000715	yellow
LOC_00000717	brown
LOC_00000719	brown
LOC_00000720	yellow
LOC_00000721	brown
LOC_00000722	yellow
LOC_00000723	yellow
LOC_00000724	brown
LOC_00000726	purple
LOC_00000727	yellow
LOC_00000728	yellow
LOC_00000729	blue
LOC_00000730	yellow
LOC_00000731	brown
LOC_00000732	yellow
LOC_00000733	brown
LOC_00000737	yellow
LOC_00000738	yellow
LOC_00000739	brown
LOC_00000740	yellow
LOC_00000741	yellow
LOC_00000742	black
LOC_00000744	turquoise
LOC_00000745	turquoise
LOC_00000746	greenyellow
LOC_00000747	brown
LOC_00000748	blue
LOC_00000749	grey
LOC_00000750	blue
LOC_00000752	brown
LOC_00000753	brown
LOC_00000754	blue
LOC_00000755	grey
LOC_00000756	blue
LOC_00000757	blue
LOC_00000758	turquoise
LOC_00000759	turquoise
LOC_00000760	turquoise
LOC_00000761	midnightblue
LOC_00000762	pink
LOC_00000763	turquoise
LOC_00000764	blue
LOC_00000766	magenta
LOC_00000767	turquoise
LOC_00000768	turquoise
LOC_00000769	turquoise
LOC_00000770	turquoise
LOC_00000772	brown
LOC_00000773	turquoise
LOC_00000774	yellow
LOC_00000775	brown
LOC_00000777	turquoise
LOC_00000778	red
LOC_00000779	grey60
LOC_00000780	brown
LOC_00000781	red
LOC_00000782	brown
LOC_00000783	green
LOC_00000784	cyan
LOC_00000785	brown
LOC_00000786	brown
