gene_id	module	kTotal	kWithin	kME	kWithin_rank	is_hub	n_dmp	mean_diff	has_dmp
LOC_00005195	turquoise	1810.93312507896	1493.63575888857	0.981568207579867	0.933980582524272	TRUE			FALSE
LOC_00005199	pink	1032.87338052255	110.424215127128	-0.939451551134549	0.904013961605585	TRUE	5	-0.234188270086013	TRUE
LOC_00005246	turquoise	1780.74616800597	1466.6996475628	0.980200642803185	0.917367853290183	TRUE			FALSE
LOC_00005254	purple	154.315254266364	45.0814435362977	0.935485780475369	0.931174089068826	TRUE			FALSE
LOC_00005308	blue	465.491188673497	319.962513571576	0.905970638392065	0.907816482582838	TRUE	6	-0.303084158570615	TRUE
LOC_00005314	black	994.307747738664	201.562289437377	0.935469716441574	0.954279015240328	TRUE	4	-0.251476162801642	TRUE
LOC_00005332	green	394.091536300714	168.818597036854	0.93396760579307	0.963039014373717	TRUE			FALSE
LOC_00005378	black	811.964942463571	205.607346120829	0.947103757305754	0.969519343493552	TRUE			FALSE
LOC_00005384	turquoise	1815.00184295848	1483.90170856631	0.979437861796689	0.927292340884574	TRUE			FALSE
LOC_00005405	turquoise	1738.41265840043	1441.27830851589	0.976064990383988	0.908090614886731	TRUE			FALSE
LOC_00005468	turquoise	1842.17611541302	1528.78054685565	0.985942262055736	0.955771305285868	TRUE			FALSE
LOC_00005484	red	415.70026395057	129.084209771205	0.933300323081044	0.971910112359551	TRUE			FALSE
LOC_00005493	red	466.547351711517	136.434384283975	0.953908009274945	0.989887640449438	TRUE	2	-0.221794572953565	TRUE
LOC_00005498	pink	979.12306539824	125.31111514794	-0.962460420304694	0.982547993019197	TRUE			FALSE
LOC_00005503	green	551.755622182008	167.627265466504	0.912356082643462	0.959958932238193	TRUE	3	-0.406032060991967	TRUE
LOC_00005603	greenyellow	737.594600210724	40.4455661881016	0.942109952671411	0.920792079207921	TRUE			FALSE
LOC_00005633	green	603.653958306558	158.037180734519	0.893429178427123	0.935318275154004	TRUE	5	0.329875173737994	TRUE
LOC_00005648	turquoise	1929.8843193312	1567.24236785681	0.98788677122704	0.988996763754045	TRUE			FALSE
LOC_00005684	blue	844.498556935111	389.382140279409	0.924908523985284	0.98428207306712	TRUE			FALSE
LOC_00005685	blue	594.327453152912	337.82084213974	0.8618174913102	0.938827527612574	TRUE			FALSE
LOC_00005687	blue	654.682342981556	370.134724961498	0.924845208928063	0.971112999150382	TRUE			FALSE
LOC_00005708	salmon	239.277914817955	22.8101357470862	0.926352591109376	0.948387096774194	TRUE	4	0.035518031045914	TRUE
LOC_00005744	brown	601.676218415214	467.042058062854	0.910431820759161	0.922766279656739	TRUE			FALSE
LOC_00005771	turquoise	1824.66846404127	1471.54744350122	0.974409172035962	0.920388349514563	TRUE	5	-0.338446301928006	TRUE
LOC_00005786	black	464.927205972649	189.294038892147	0.956007316720676	0.919109026963658	TRUE			FALSE
LOC_00005839	black	1271.51982126765	208.856557648775	0.935915668216173	0.977725674091442	TRUE			FALSE
LOC_00005853	blue	576.052848952431	351.944961582373	0.910804767441499	0.955395072217502	TRUE			FALSE
LOC_00005861	blue	683.159043057239	403.13529900313	0.91897021589448	0.991503823279524	TRUE	4	-0.274469200802773	TRUE
LOC_00005863	blue	534.801386363898	323.415054026792	0.844081241341988	0.915463041631266	TRUE	10	0.199055981957159	TRUE
LOC_00005885	turquoise	1881.90329207135	1534.03644236536	0.98354688115725	0.959223300970874	TRUE			FALSE
LOC_00005891	yellow	349.81952125627	276.851272488623	0.889011110494879	0.913661202185792	TRUE			FALSE
LOC_00005918	turquoise	1810.81840721402	1505.63451710755	0.985760238253489	0.940884573894283	TRUE			FALSE
LOC_00005923	yellow	375.966172740541	282.622950927778	0.892368174309647	0.924043715846994	TRUE			FALSE
LOC_00005926	red	441.155018152101	113.274278800949	0.910767633594447	0.91685393258427	TRUE	1	0.262720231017486	TRUE
LOC_00005964	midnightblue	319.865478334437	21.588564268381	0.91699951585515	0.928571428571429	TRUE			FALSE
LOC_00006028	black	988.125388410579	202.940845866316	0.947185463361102	0.961313012895662	TRUE	5	-0.0480111042345304	TRUE
LOC_00006040	turquoise	1832.84447595788	1506.99378098154	0.983486002364237	0.941963322545847	TRUE			FALSE
LOC_00006052	blue	664.956388617432	366.311987014637	0.909621385790374	0.969413763806287	TRUE	1	-0.227407734293287	TRUE
LOC_00006064	brown	691.71436021294	506.554940697831	0.975521581886122	0.965673902069662	TRUE			FALSE
LOC_00006065	brown	687.923428601123	516.119236955489	0.976044252593919	0.974760222110045	TRUE	3	0.215727455246248	TRUE
LOC_00006072	red	450.019876765882	113.729150046142	0.910765355761044	0.917977528089888	TRUE			FALSE
LOC_00006073	red	460.609469220092	119.502196436537	0.929130808368273	0.944943820224719	TRUE			FALSE
LOC_00006078	turquoise	1847.98814979974	1544.62098996851	0.989353063144901	0.9680690399137	TRUE			FALSE
LOC_00006091	yellow	406.850502520646	294.694072368219	0.904600207770511	0.944262295081967	TRUE			FALSE
LOC_00006092	yellow	356.663021194222	287.735999591958	0.879326370447344	0.932786885245902	TRUE			FALSE
LOC_00006096	turquoise	1929.34531593035	1567.0235477994	0.987027860380783	0.988781014023732	TRUE			FALSE
