decile	bin	mean_beta	mean_beta_a	n
D02	-4370	8.29989169714094	8.25786342556099	239
D02	-4350	8.18905454421138	7.67707354419338	261
D02	-4310	11.2124962777457	10.7561636355423	231
D02	-4290	11.8394362116889	12.1731495730596	277
D02	-4250	7.62029272795795	8.03299413651751	245
D02	-4230	11.3976792441139	11.8118513119666	227
D02	-4190	7.77479972876613	7.66024689271441	234
D02	-4170	9.31980319065097	9.27848560696946	243
D02	-4130	7.96887929265036	7.55992096562109	232
D02	-4050	10.0581392583869	9.96725806106447	216
D02	-3990	6.52910201876093	6.58789648040713	243
D02	-3960	8.59842290120756	8.69637934873357	234
D02	-2810	7.56252227506028	7.64125305517313	230
D02	-2780	9.73871283232657	9.82523862366686	260
D02	-2750	7.3323702023376	7.65373741772761	247
D02	-2420	6.27575378310529	6.18050132178088	270
D02	-2400	5.84213302266153	5.86032811943949	268
D02	-1750	9.19267676256075	9.14248427808089	255
D02	-1720	5.63172030527927	5.78186723124605	276
D02	-1660	5.30566636396464	5.2120988223141	235
D02	-1190	5.41046104372436	5.83297391251399	257
D02	-1160	8.32016037443669	8.44960329784115	260
D02	-1130	6.34630061826046	6.37746976450213	269
D02	-1100	5.19624983723665	5.05545698331563	276
D02	-1070	5.30125638011033	5.47098051813856	258
D02	-1050	6.85055791890252	6.64507565765341	250
D02	-1010	6.91082694936936	6.84240543399713	267
D02	-990	7.6493619119184	7.59162500707779	269
D02	-950	7.86243936045009	7.78559111787805	267
D02	-930	5.79311361431924	5.77344064866073	284
D02	-870	3.92787976783644	3.59157876414943	246
D02	320	6.84173195592487	6.96015962743255	339
D02	330	7.93035185892151	8.59795691219974	279
D02	650	10.0575829766423	10.0040410065665	252
D02	670	11.3509955727277	11.0700670438897	225
D05	1070	50.0276469871526	50.7828045824136	357
D05	1060	48.7017820301854	49.3283928864429	305
D05	950	52.2679522167349	52.0097238152137	329
D05	560	24.5115381834829	23.643992179463	328
D05	480	7.60809562602429	7.35320277555817	356
D05	370	3.20943792204852	3.7369718764552	389
D05	90	2.39696797824861	2.37898962386626	481
D05	70	2.39714920357263	2.4582451733697	517
D05	20	2.46587171456918	2.45484979225833	649
D05	10	2.2678894198828	2.36808446358494	676
D05	0	1.50906946497251	1.47987151233984	711
D05	-20	1.64304206818685	1.62463265417064	698
D05	-30	1.30191321780652	1.22220084009866	584
D05	-180	2.45985387205904	2.40357478516925	435
D05	-230	3.37386117400171	3.60311018948831	454
D05	-680	5.41230564459479	5.86394159913948	373
D05	-690	5.82575311506888	5.89910036283195	376
D05	-720	6.3665357597908	6.62849160079423	397
D05	-730	6.20168909202584	6.10760575136096	406
D05	-750	6.7307145295022	6.60744090436988	424
D05	-790	10.0320426480076	10.0301111110352	450
D05	-830	10.6859009523554	10.6801767797381	394
D05	-840	10.2172240409374	10.3588658668032	394
D05	-870	8.08335925864726	8.43956384707736	358
D05	-880	9.18932129359855	9.31706393188873	343
D05	-890	10.5319103923725	10.8047390590438	362
D05	-1580	13.0710682594707	13.0391850267192	381
D05	-1620	10.2285309320466	10.4801444415151	397
D05	-1880	15.6277197459207	15.84608217299	373
D05	-1910	10.8685775093332	11.1174714824059	355
D05	-1920	13.7104700245503	14.064372950254	384
D05	-1940	11.4875989065586	11.7831058863787	401
D05	-2510	12.2735854821498	12.2429355370037	377
D05	-2520	14.0141126158486	13.9154994011683	375
D05	-2970	15.0684405497415	14.9744522336571	365
