motif_name	OR	p	n_spike	n_flank	padj	log2OR	neglog10p
Nr2F6	0	1	3531	0	1	-6.64385618977472	0
RARA	0	1	6344	0	1	-6.64385618977472	0
BCL6B	0	1	2683	0	1	-6.64385618977472	0
EGR2	0	1	3912	0	1	-6.64385618977472	0
GLIS2	0	1	2955	0	1	-6.64385618977472	0
GLIS3	0	1	2558	0	1	-6.64385618977472	0
KLF16	0	1	7891	0	1	-6.64385618977472	0
ZNF143	0	1	3105	0	1	-6.64385618977472	0
E2F7	0	1	2970	0	1	-6.64385618977472	0
HSF2	0	1	2292	0	1	-6.64385618977472	0
HSF4	0	1	2629	0	1	-6.64385618977472	0
MEF2D	0	1	4296	0	1	-6.64385618977472	0
MEIS2	0	1	7224	0	1	-6.64385618977472	0
MYBL1	0	1	1245	0	1	-6.64385618977472	0
MYBL2	0	1	1497	0	1	-6.64385618977472	0
NFKB1	0	1	1554	0	1	-6.64385618977472	0
PAX3	0	1	4061	0	1	-6.64385618977472	0
PKNOX2	0	1	3308	0	1	-6.64385618977472	0
POU3F2	0	1	3308	0	1	-6.64385618977472	0
POU3F3	0	1	3853	0	1	-6.64385618977472	0
POU3F4	0	1	2872	0	1	-6.64385618977472	0
POU5F1B	0	1	2576	0	1	-6.64385618977472	0
PROX1	0	1	1969	0	1	-6.64385618977472	0
SMAD3	0	1	2103	0	1	-6.64385618977472	0
TGIF1	0	1	2937	0	1	-6.64385618977472	0
TGIF2	0	1	2714	0	1	-6.64385618977472	0
RUNX2	0	1	3266	0	1	-6.64385618977472	0
MGA	0	1	1950	0	1	-6.64385618977472	0
TBX15	0	1	2021	0	1	-6.64385618977472	0
TBX1	0	1	2392	0	1	-6.64385618977472	0
TBX4	0	1	2501	0	1	-6.64385618977472	0
TBX5	0	1	2375	0	1	-6.64385618977472	0
TEAD3	0	1	2949	0	1	-6.64385618977472	0
TFAP2B	0	1	8001	0	1	-6.64385618977472	0
TFAP2C	0	1	9013	0	1	-6.64385618977472	0
Ascl2	0	1	3924	0	1	-6.64385618977472	0
HES7	0	1	1707	0	1	-6.64385618977472	0
HEY1	0	1	1909	0	1	-6.64385618977472	0
OLIG1	0	1	2349	0	1	-6.64385618977472	0
OLIG3	0	1	2567	0	1	-6.64385618977472	0
CEBPG	0	1	4743	0	1	-6.64385618977472	0
FOXB1	0	1	5937	0	1	-6.64385618977472	0
FOXC1	0	1	6631	0	1	-6.64385618977472	0
FOXO4	0	1	7118	0	1	-6.64385618977472	0
FOXO6	0	1	7118	0	1	-6.64385618977472	0
FOXP3	0	1	7118	0	1	-6.64385618977472	0
RXRB	0	1	5326	0	1	-6.64385618977472	0
RXRG	0	1	6285	0	1	-6.64385618977472	0
Rarb	0	1	6913	0	1	-6.64385618977472	0
Rarg	0	1	7195	0	1	-6.64385618977472	0
TP63	0	1	2511	0	1	-6.64385618977472	0
TP53	0	1	2104	0	1	-6.64385618977472	0
GMEB2	0	1	799	0	1	-6.64385618977472	0
MTF1	0	1	4782	0	1	-6.64385618977472	0
E2F1	0	1	1731	0	1	-6.64385618977472	0
SOX21	0	1	4403	0	1	-6.64385618977472	0
Sox1	0	1	3403	0	1	-6.64385618977472	0
TFAP2A	0	1	8973	0	1	-6.64385618977472	0
Ets21C	0	1	3100	0	1	-6.64385618977472	0
gcm2	0	1	1974	0	1	-6.64385618977472	0
ces-2	0	1	2009	0	1	-6.64385618977472	0
pal-1	0	1	2420	0	1	-6.64385618977472	0
unc-86	0	1	1964	0	1	-6.64385618977472	0
vab-7	0	1	1959	0	1	-6.64385618977472	0
ZNF24	0	1	4775	0	1	-6.64385618977472	0
ZSCAN4	0	1	5782	0	1	-6.64385618977472	0
FOSB::JUN	0	1	2859	0	1	-6.64385618977472	0
FOSL1::JUN	0	1	4732	0	1	-6.64385618977472	0
FOSB::JUNB	0	1	4408	0	1	-6.64385618977472	0
IRF5	0	1	3059	0	1	-6.64385618977472	0
TCF7L1	0	1	4985	0	1	-6.64385618977472	0
fkh-9	0	1	8189	0	1	-6.64385618977472	0
mab-5	0	1	3292	0	1	-6.64385618977472	0
ceh-28	0	1	758	0	1	-6.64385618977472	0
fos-1	0	1	3817	0	1	-6.64385618977472	0
nhr-6	0	1	5168	0	1	-6.64385618977472	0
ATOH7	0	1	2742	0	1	-6.64385618977472	0
FERD3L	0	1	3084	0	1	-6.64385618977472	0
FOXN3	0	1	4400	0	1	-6.64385618977472	0
HES6	0	1	3153	0	1	-6.64385618977472	0
IRF6	0	1	1625	0	1	-6.64385618977472	0
NR2F1	0	1	10601	0	1	-6.64385618977472	0
NR2F6	0	1	2600	0	1	-6.64385618977472	0
SMAD5	0	1	2091	0	1	-6.64385618977472	0
TGIF2LX	0	1	1971	0	1	-6.64385618977472	0
TGIF2LY	0	1	1908	0	1	-6.64385618977472	0
ZBTB32	0	1	3538	0	1	-6.64385618977472	0
ZNF135	0	1	4449	0	1	-6.64385618977472	0
ZNF136	0	1	3113	0	1	-6.64385618977472	0
ZNF382	0	1	3662	0	1	-6.64385618977472	0
ZNF460	0	1	5266	0	1	-6.64385618977472	0
ZNF528	0	1	3628	0	1	-6.64385618977472	0
HOXA5	0	1	698	0	1	-6.64385618977472	0
HOXD3	0	1	1039	0	1	-6.64385618977472	0
NEUROG1	0	1	2039	0	1	-6.64385618977472	0
HOXB1	0	1	4660	0	1	-6.64385618977472	0
PAX8	0	1	2931	0	1	-6.64385618977472	0
Sox7	0	1	4227	0	1	-6.64385618977472	0
ZNF524	0	1	3733	0	1	-6.64385618977472	0
ZNF707	0	1	3484	0	1	-6.64385618977472	0
ZNF75A	0	1	4347	0	1	-6.64385618977472	0
ZNF766	0	1	2874	0	1	-6.64385618977472	0
ZNF770	0	1	3253	0	1	-6.64385618977472	0
ZNF8	0	1	3483	0	1	-6.64385618977472	0
ZSCAN16	0	1	2823	0	1	-6.64385618977472	0
ZNF677	0	1	4935	0	1	-6.64385618977472	0
Foxn1	0	1	8224	0	1	-6.64385618977472	0
Clamp	0	1	6546	0	1	-6.64385618977472	0
ZBTB17	0	1	1089	0	1	-6.64385618977472	0
cg	0	1	6673	0	1	-6.64385618977472	0
sqz	0	1	17185	0	1	-6.64385618977472	0
Gsx	0	1	6341	0	1	-6.64385618977472	0
Klf15	0	1	9435	0	1	-6.64385618977472	0
Klf6-7-like	0	1	8300	0	1	-6.64385618977472	0
Arid3	0	1	14950	0	1	-6.64385618977472	0
Cdx	0	1	2389	0	1	-6.64385618977472	0
HNF4	0	1	3407	0	1	-6.64385618977472	0
Meis	0	1	12347	0	1	-6.64385618977472	0
Pax2-5-8-a	0	1	1663	0	1	-6.64385618977472	0
Pax3-7-like	0	1	13906	0	1	-6.64385618977472	0
Pax6	0	1	14950	0	1	-6.64385618977472	0
Pou4	0	1	16291	0	1	-6.64385618977472	0
ELK1::HOXA1	0	1	2235	0	1	-6.64385618977472	0
HOXB2::ELK1	0	1	2777	0	1	-6.64385618977472	0
POU2F1::SOX2	0	1	4264	0	1	-6.64385618977472	0
ZFP14	0	1	6030	0	1	-6.64385618977472	0
ZNF418	0	1	4435	0	1	-6.64385618977472	0
ZNF669	0	1	4132	0	1	-6.64385618977472	0
FOXP4	0	1	7118	0	1	-6.64385618977472	0
FOXS1	0	1	3552	0	1	-6.64385618977472	0
HOXA3	0	1	4660	0	1	-6.64385618977472	0
ZNF184	0	1	4014	0	1	-6.64385618977472	0
ZNF213	0	1	3990	0	1	-6.64385618977472	0
Ebf4	0	1	2556	0	1	-6.64385618977472	0
Hand1	0	1	3271	0	1	-6.64385618977472	0
Hmga1	0	1	5141	0	1	-6.64385618977472	0
Zfp809	0	1	3735	0	1	-6.64385618977472	0
Zfp961	0	1	3438	0	1	-6.64385618977472	0
SP1	0	1	6882	0	1	-6.64385618977472	0
RFX1	0	1	2325	0	1	-6.64385618977472	0
SP2	0	1	6349	0	1	-6.64385618977472	0
BHLHA15	0	1	1779	0	1	-6.64385618977472	0
SP4	0	1	6886	0	1	-6.64385618977472	0
KLF14	0	1	6842	0	1	-6.64385618977472	0
KLF12	0	1	6135	0	1	-6.64385618977472	0
RFX3	0	1	2720	0	1	-6.64385618977472	0
BHLHE22	0	1	8605	0	1	-6.64385618977472	0
HES5	0	1	1405	0	1	-6.64385618977472	0
TFE3	0	1	2403	0	1	-6.64385618977472	0
CDX1	0	1	3375	0	1	-6.64385618977472	0
DUXA	0	1	1550	0	1	-6.64385618977472	0
KLF10	0	1	6713	0	1	-6.64385618977472	0
NR1D2	0	1	2746	0	1	-6.64385618977472	0
PITX2	0	1	1689	0	1	-6.64385618977472	0
SOX18	0	1	2554	0	1	-6.64385618977472	0
Thap11	0	1	2917	0	1	-6.64385618977472	0
ZNF75D	0	1	3064	0	1	-6.64385618977472	0
BACH1	0	1	2528	0	1	-6.64385618977472	0
atf-2	0	1	1750	0	1	-6.64385618977472	0
ceh-18	0	1	1536	0	1	-6.64385618977472	0
ceh-23	0	1	10894	0	1	-6.64385618977472	0
dmd-10	0	1	2624	0	1	-6.64385618977472	0
egl-38	0	1	3229	0	1	-6.64385618977472	0
egrh-1	0	1	3477	0	1	-6.64385618977472	0
elt-7	0	1	4537	0	1	-6.64385618977472	0
end-3	0	1	13876	0	1	-6.64385618977472	0
jun-1	0	1	2435	0	1	-6.64385618977472	0
klf-3	0	1	5520	0	1	-6.64385618977472	0
klu-1	0	1	2213	0	1	-6.64385618977472	0
klu-2	0	1	2785	0	1	-6.64385618977472	0
let-381	0	1	5538	0	1	-6.64385618977472	0
lin-31	0	1	3361	0	1	-6.64385618977472	0
lin-48	0	1	2315	0	1	-6.64385618977472	0
nhr-142	0	1	2402	0	1	-6.64385618977472	0
nhr-25	0	1	2312	0	1	-6.64385618977472	0
nhr-5	0	1	2644	0	1	-6.64385618977472	0
nhr-70	0	1	3839	0	1	-6.64385618977472	0
nhr-86	0	1	2747	0	1	-6.64385618977472	0
nsy-7	0	1	8539	0	1	-6.64385618977472	0
