decile	bin	mean_cpg_per_bin	cpg_per_kb
D02	670	1.10294117647059	110.294117647059
D05	1070	1.10526315789474	110.526315789474
D05	1060	1.08928571428571	108.928571428571
D05	950	1.09666666666667	109.666666666667
D05	560	1.1043771043771	110.43771043771
D05	480	1.09538461538462	109.538461538462
D05	370	1.14076246334311	114.076246334311
D05	90	1.12910798122066	112.910798122066
D05	70	1.12391304347826	112.391304347826
D05	20	1.18864468864469	118.864468864469
D05	10	1.17565217391304	117.565217391304
D05	0	1.18106312292359	118.106312292359
D05	-20	1.1652754590985	116.52754590985
D05	-30	1.1869918699187	118.69918699187
D05	-180	1.11253196930946	111.253196930946
D05	-230	1.11822660098522	111.822660098522
D05	-680	1.12349397590361	112.349397590361
D05	-690	1.10263929618768	110.263929618768
D05	-720	1.12784090909091	112.784090909091
D05	-730	1.14044943820225	114.044943820225
D05	-750	1.14594594594595	114.594594594595
D05	-790	1.13924050632911	113.924050632911
D05	-830	1.13544668587896	113.544668587896
D05	-840	1.13872832369942	113.872832369942
D05	-870	1.10835913312693	110.835913312693
D05	-880	1.12091503267974	112.091503267974
D05	-890	1.10703363914373	110.703363914373
D05	-1580	1.12389380530973	112.389380530973
D05	-1620	1.13105413105413	113.105413105413
D05	-1880	1.11676646706587	111.676646706587
D05	-1910	1.09230769230769	109.230769230769
D05	-1920	1.15315315315315	115.315315315315
D05	-1940	1.14245014245014	114.245014245014
D05	-2510	1.08959537572254	108.959537572254
D05	-2520	1.1094674556213	110.94674556213
D05	-2970	1.12307692307692	112.307692307692
D07	1980	1.10175438596491	110.175438596491
D07	1940	1.09451219512195	109.451219512195
D07	1900	1.10574018126888	110.574018126888
D07	1840	1.15384615384615	115.384615384615
D07	1640	1.11073825503356	111.073825503356
D07	1510	1.10374639769452	110.374639769452
D07	1490	1.14511041009464	114.511041009464
D07	1420	1.09649122807018	109.649122807018
D07	1360	1.12650602409639	112.650602409639
D07	200	1.17391304347826	117.391304347826
D07	130	1.10401891252955	110.401891252955
D07	20	1.19664634146341	119.664634146341
D07	10	1.17543859649123	117.543859649123
D07	0	1.1875	118.75
D07	-10	1.2	120
D07	-20	1.1602023608769	116.02023608769
D07	-30	1.13414634146341	113.414634146341
D07	-40	1.17508417508418	117.508417508418
D07	-60	1.1437125748503	114.37125748503
D07	-370	1.12592592592593	112.592592592593
D07	-560	1.08539944903581	108.539944903581
D07	-650	1.11396011396011	111.396011396011
D07	-660	1.13492063492064	113.492063492064
D07	-770	1.11581920903955	111.581920903955
D07	-950	1.12566844919786	112.566844919786
D07	-980	1.11634349030471	111.634349030471
D07	-990	1.10649350649351	110.649350649351
D07	-1000	1.10416666666667	110.416666666667
D07	-1020	1.12398921832884	112.398921832884
D07	-1030	1.12181303116147	112.181303116147
D07	-1040	1.11830985915493	111.830985915493
D07	-1070	1.14594594594595	114.594594594595
D07	-1120	1.14035087719298	114.035087719298
D07	-1150	1.12154696132597	112.154696132597
D07	-1230	1.12698412698413	112.698412698413
D07	-1740	1.11111111111111	111.111111111111
D07	-1850	1.18465909090909	118.465909090909
D07	-1880	1.10204081632653	110.204081632653
D07	-1950	1.18266253869969	118.266253869969
D07	-1970	1.09814323607427	109.814323607427
D07	-2050	1.12299465240642	112.299465240642
D07	-2070	1.08918918918919	108.918918918919
D07	-2120	1.11661807580175	111.661807580175
D07	-2130	1.1	110
D07	-2290	1.13720316622691	113.720316622691
D07	-2490	1.14880952380952	114.880952380952
D07	-2520	1.14242424242424	114.242424242424
D07	-2570	1.0958904109589	109.58904109589
D07	-2930	1.10385756676558	110.385756676558
D07	-2960	1.10306406685237	110.306406685237
D07	-2970	1.14084507042254	114.084507042254
D07	-3030	1.14035087719298	114.035087719298
D07	-3210	1.14210526315789	114.210526315789
D07	-3240	1.15083798882682	115.083798882682
D07	-3920	1.1304347826087	113.04347826087
D07	-4050	1.0932944606414	109.32944606414
D07	-4160	1.11246200607903	111.246200607903
D07	-4170	1.1238670694864	112.38670694864
D07	-4220	1.11176470588235	111.176470588235
D07	-4250	1.11960132890365	111.960132890365
D07	-4270	1.13664596273292	113.664596273292
D07	-4280	1.125	112.5
D07	-4300	1.10153846153846	110.153846153846
D07	1960	1.13245033112583	113.245033112583
D07	1260	1.13815789473684	113.815789473684
D07	1200	1.14029850746269	114.029850746269
D07	1190	1.08045977011494	108.045977011494
D07	1130	1.14285714285714	114.285714285714
D07	1090	1.10216718266254	110.216718266254
D07	1040	1.09395973154362	109.395973154362
D07	800	1.11764705882353	111.764705882353
D07	780	1.09287925696594	109.287925696594
D07	760	1.13804713804714	113.804713804714
D07	740	1.10862619808307	110.862619808307
D07	700	1.10493827160494	110.493827160494
D07	560	1.09726443768997	109.726443768997
D07	330	1.11881188118812	111.881188118812
D07	320	1.15136476426799	115.136476426799
D07	260	1.17176470588235	117.176470588235
D07	210	1.13924050632911	113.924050632911
D07	140	1.12808988764045	112.808988764045
D07	-220	1.12826603325416	112.826603325416
D07	-240	1.13164556962025	113.164556962025
D07	-260	1.125	112.5
D07	-290	1.14496314496315	114.496314496315
D07	-300	1.14043583535109	114.043583535109
D07	-360	1.13657407407407	113.657407407407
D07	-380	1.10483870967742	110.483870967742
D07	-400	1.13397129186603	113.397129186603
D07	-430	1.12073490813648	112.073490813648
D07	-450	1.11556603773585	111.556603773585
D07	-470	1.14593301435407	114.593301435407
D07	-480	1.13730569948187	113.730569948187
D07	-490	1.13691931540342	113.691931540342
D07	-1350	1.11023622047244	111.023622047244
D04	1970	1.09677419354839	109.677419354839
D04	1960	1.09333333333333	109.333333333333
D04	1930	1.13157894736842	113.157894736842
D04	1920	1.1264367816092	112.64367816092
D04	1840	1.1280276816609	112.80276816609
D04	1810	1.09836065573771	109.836065573771
D04	1800	1.11881188118812	111.881188118812
D04	1750	1.13559322033898	113.559322033898
D04	1680	1.09157509157509	109.157509157509
D04	1670	1.09246575342466	109.246575342466
D04	1570	1.11986301369863	111.986301369863
D04	1380	1.12341772151899	112.341772151899
D04	1350	1.09868421052632	109.868421052632
D04	1330	1.12542372881356	112.542372881356
D04	1320	1.09090909090909	109.090909090909
D04	1240	1.12956810631229	112.956810631229
D04	1230	1.11783439490446	111.783439490446
D04	1070	1.13333333333333	113.333333333333
D04	980	1.11641791044776	111.641791044776
D04	800	1.09657320872274	109.657320872274
D04	790	1.09621993127148	109.621993127148
D04	720	1.0920245398773	109.20245398773
D04	710	1.11746031746032	111.746031746032
D04	670	1.13355048859935	113.355048859935
D04	630	1.11455108359133	111.455108359133
D04	620	1.12264150943396	112.264150943396
D04	580	1.11221122112211	111.221122112211
D04	530	1.10263929618768	110.263929618768
D04	310	1.13888888888889	113.888888888889
D04	250	1.15451895043732	115.451895043732
D04	120	1.12439024390244	112.439024390244
D04	-1820	1.11526479750779	111.526479750779
D07	-3790	1.13946587537092	113.946587537092
D04	-1900	1.13880126182965	113.880126182965
D07	-3700	1.12383900928793	112.383900928793
D04	-1970	1.12264150943396	112.264150943396
D07	-3640	1.12618296529968	112.618296529968
D04	-1980	1.12765957446809	112.765957446809
D07	-3630	1.13142857142857	113.142857142857
D04	-2010	1.1128526645768	111.28526645768
D07	-3600	1.13650793650794	113.650793650794
D04	-2020	1.1566265060241	115.66265060241
D07	-3590	1.15170278637771	115.170278637771
D04	-2030	1.12037037037037	112.037037037037
D07	-3580	1.1195652173913	111.95652173913
D07	-3570	1.12215909090909	112.215909090909
D04	-2060	1.12012012012012	112.012012012012
D04	-2070	1.14328358208955	114.328358208955
D07	-3540	1.13142857142857	113.142857142857
D04	-2080	1.11320754716981	111.320754716981
D07	-3530	1.11232876712329	111.232876712329
D04	-2200	1.11971830985916	111.971830985916
D07	-3410	1.1063829787234	110.63829787234
D04	-2270	1.15238095238095	115.238095238095
D07	-3340	1.16816816816817	116.816816816817
D04	-2280	1.08823529411765	108.823529411765
D07	-3330	1.14984709480122	114.984709480122
D04	-2290	1.125	112.5
D07	-3310	1.13813813813814	113.813813813814
D04	-2320	1.1047619047619	110.47619047619
D07	-3280	1.1214953271028	112.14953271028
D04	-2380	1.09868421052632	109.868421052632
D07	-3230	1.1235632183908	112.35632183908
D04	-2520	1.13489736070381	113.489736070381
D07	-3080	1.1044776119403	110.44776119403
D04	-2580	1.12091503267974	112.091503267974
D07	-3020	1.11647727272727	111.647727272727
D04	-2590	1.12264150943396	112.264150943396
D04	-2610	1.11920529801325	111.920529801325
D07	-2990	1.14367816091954	114.367816091954
D04	-2620	1.12974683544304	112.974683544304
D04	-2630	1.12162162162162	112.162162162162
D04	-2670	1.11464968152866	111.464968152866
D04	-2720	1.13175675675676	113.175675675676
D07	-2890	1.11171662125341	111.171662125341
D04	-2740	1.1021021021021	110.21021021021
D07	-2870	1.11940298507463	111.940298507463
D04	-2900	1.10248447204969	110.248447204969
D07	-2700	1.12857142857143	112.857142857143
D04	-3010	1.13249211356467	113.249211356467
D07	-2600	1.13312693498452	113.312693498452
D04	-3060	1.14649681528662	114.649681528662
D04	-3070	1.17350157728707	117.350157728707
D07	-2540	1.15339233038348	115.339233038348
D04	-3130	1.1241610738255	112.41610738255
D07	-2480	1.11560693641618	111.560693641619
D04	-3170	1.13541666666667	113.541666666667
D04	-3200	1.11290322580645	111.290322580645
D07	-2400	1.12173913043478	112.173913043478
D04	-3240	1.11935483870968	111.935483870968
D04	-3310	1.15434083601286	115.434083601286
D07	-2300	1.11384615384615	111.384615384615
D04	-3690	1.15625	115.625
D07	-1920	1.14763231197772	114.763231197772
D04	-3730	1.13405797101449	113.405797101449
D07	-1870	1.13527851458886	113.527851458886
D04	-3860	1.16612377850163	116.612377850163
D07	-1750	1.10133333333333	110.133333333333
D04	-3870	1.10322580645161	110.322580645161
D07	-1730	1.10140845070423	110.140845070423
D04	-4110	1.12232415902141	112.232415902141
D07	-1500	1.13317757009346	113.317757009346
D04	-4120	1.14024390243902	114.024390243902
