decile	pos	gc_pct	cpg_oe
D08	-1590	41.3489765351972	0.682418953920463
D07	-1590	41.9295420231505	0.69138798478849
D10	-1590	41.5002440214739	0.687864899674574
D09	-1590	41.6495349975526	0.676466253727386
D06	-1590	41.5421436004162	0.669920567514426
D01	-1590	42.5006468305304	0.695080286649439
D05	-1590	41.7190170940171	0.661949018554001
D04	-1590	41.5443458980044	0.697950359618425
D02	-1580	41.4491017964072	0.678905714522683
D03	-1580	41.3103879849812	0.686026050987508
D08	-1580	41.3464802795806	0.686403643870223
D07	-1580	41.973829894313	0.69493162651346
D10	-1580	41.5505124450952	0.682685505816534
D09	-1580	41.6764561918747	0.672745549087305
D06	-1580	41.5676378772112	0.672088845397491
D01	-1580	42.5142302716688	0.698262729121507
D05	-1580	41.7847222222222	0.664249934093011
D04	-1580	41.5454545454546	0.698882398043455
D02	-1570	41.4887724550898	0.681732180959862
D03	-1570	41.2809762202753	0.686284236241257
D08	-1570	41.3624563155267	0.682941691363033
D07	-1570	42.0493205837947	0.695614856618265
D10	-1570	41.5534407027819	0.678074772393386
D09	-1570	41.6397454723446	0.676201013318763
D06	-1570	41.5296566077003	0.678999426402172
D01	-1570	42.5802069857697	1.13409689100111
D05	-1570	41.7548076923077	0.677192690194267
D04	-1570	41.4506651884701	0.700198123159706
D02	-1560	41.5853293413174	0.68089233817185
D03	-1560	41.2284105131414	0.694303029581263
D08	-1560	41.3839241138293	0.690019461072835
D07	-1560	41.9783593356819	0.695889084634611
D10	-1560	41.5568570034163	0.678970589573291
D09	-1560	41.6627508565835	0.681125002402292
D06	-1560	41.5104058272633	0.67420197607962
D01	-1560	42.6377749029754	0.812893397141139
D05	-1560	41.8082264957265	0.673445862397265
D04	-1560	41.3858093126386	0.705461437992198
D02	-1550	41.7275449101796	0.689250754653873
D03	-1550	41.1057571964956	0.684606193761568
D08	-1550	41.4003994008987	0.690045507231327
D07	-1550	41.8917966784097	0.6922494630098
D10	-1550	41.610541727672	0.684477127572113
D09	-1550	41.657366617719	0.682503897298629
D06	-1550	41.5442247658689	0.679263813987346
D01	-1550	42.6636481241915	0.723950403627155
D05	-1550	41.75	0.663374627833616
D04	-1550	41.4390243902439	0.692563252732566
D02	-1540	41.8263473053892	0.692843735675425
D03	-1540	41.1602002503129	0.694051689161758
D08	-1540	41.3539690464304	0.687548736247616
D07	-1540	41.9250125817816	0.696517987277601
D10	-1540	41.7052220595412	0.696144519749897
D09	-1540	41.6534508076358	0.683607197814861
D06	-1540	41.5634755463059	0.679651877362709
D01	-1540	42.6584734799483	0.715426971223833
D05	-1540	41.7403846153846	0.673724621303841
D04	-1540	41.4246119733925	0.688120763416393
D02	-1530	41.8405688622755	0.693839181554956
D03	-1530	41.1614518147685	0.698766951717989
D08	-1530	41.3215177234149	0.691039406084274
D07	-1530	41.9159536990438	0.694831641956062
D10	-1530	41.7359687652513	0.694975808506471
D09	-1530	41.6803720019579	0.684863628710762
D06	-1530	41.5998959417274	0.681687960790247
D01	-1530	42.6694695989651	0.712275537933699
D05	-1530	41.7275641025641	0.670515272379002
D04	-1530	41.3481152993348	0.682914058473681
D02	-1520	41.8285928143713	0.693034018761695
D03	-1520	41.1351689612015	0.703039349388466
D08	-1520	41.3764353469795	0.689625595611411
D07	-1520	41.8928032209361	0.696596813053374
D10	-1520	41.8155197657394	0.694988620704884
D09	-1520	41.6172295643661	0.692885045070382
D06	-1520	41.60197710718	0.687827725521449
D01	-1520	42.719275549806	0.711499321883862
D05	-1520	41.7152777777778	0.667869843470295
D04	-1520	41.3891352549889	0.684867448581357
D02	-1510	41.7604790419162	0.692945962993708
D03	-1510	41.1795994993742	0.695795884808825
D08	-1510	41.3844233649526	0.68872750134236
D07	-1510	41.8862606945143	0.699646710349369
D10	-1510	41.8223523670083	0.699749500271626
D09	-1510	41.6319138521782	0.694006436743511
