gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin
LOC_00016505	16	0.182700866332682	14	2	-0.254368870351459	0.133274088226847	173.661661746608	FALSE	Hyper	ZNF226	>10
LOC_00016506	6	-0.199917627345948	0	6	-0.08341968841126	0.593484887835374	305.340620082334	FALSE	Hypo	ZNF726	6-10
LOC_00016510	1	-0.278690469332224	0	1	-0.37015596889761	0.0989915416444699	62.4119534928627	FALSE	Hypo	ZNF836	1
LOC_00016514	7	-0.239560515346344	0	7	-0.18585086645059	0.254226147159571	143.789648059264	FALSE	Hypo	ZNF271	6-10
LOC_00016515	1	0.236252024961527	1	0	-0.0907432131653503	0.55901375267865	294.987683904112	FALSE	Hyper	ZNF271	1
LOC_00016517	2	-0.24341740110819	0	2	-0.397311058566667	0.0318890070704772	147.03471163305	TRUE	Hypo	ZNF665	2-3
LOC_00016522	10	-0.165331885944282	0	10	-0.0775498840264005	0.602823200991589	340.230951097221	FALSE	Hypo	ZNF227	6-10
LOC_00016526	1	0.169147286527861	1	0	-0.0897677369279151	0.513947144807447	51.418727158844	FALSE	Hyper	Znf431	1
LOC_00016538	6	0.248207005274474	6	0	0.0161970001937248	0.906706507106674	31.5654808670878	FALSE	Hyper	ZFP2	6-10
LOC_00016553	8	-0.224142635920406	0	8	0.00878523230058148	0.960739861985678	62.21745901925	FALSE	Hypo	ZNF227	6-10
LOC_00016562	1	-0.192536032501763	0	1	0.0700248372044395	0.615146375642601	692.748769515201	FALSE	Hypo	ZNF227	1
LOC_00016563	1	-0.192536032501763	0	1	-0.180381660923528	0.269474948623581	123.047425765014	FALSE	Hypo	ZNF227	1
LOC_00016567	2	-0.188853268221641	0	2	-0.115833003100211	0.40383301895443	68.5865090830751	FALSE	Hypo	ZNF227	2-3
LOC_00016572	1	-0.198540916587493	0	1	-0.32051525616435	0.0639944605647353	545.04744772739	FALSE	Hypo	Znf431	1
LOC_00016580	4	0.416667931682015	4	0	0.107262137733868	0.491838715900424	365.54333834537	FALSE	Hyper	Kyat3	4-5
LOC_00016581	4	0.416667931682015	4	0	-0.156912520770628	0.300275352367215	357.241633383313	FALSE	Hyper		4-5
LOC_00016582	1	-0.163025148922675	0	1	0.252787303155524	0.14614635854786	3037.20138018589	FALSE	Hypo	RPL35	1
LOC_00016584	2	-0.198665668455482	0	2	0.014400819551301	0.918262228902089	580.538211906328	FALSE	Hypo	Ddx31	2-3
LOC_00016585	2	-0.198665668455482	0	2	0.082651969434027	0.584761865445816	453.209358163491	FALSE	Hypo		2-3
LOC_00016597	9	0.166660291503516	7	2	-0.112654730691118	0.449200893954917	76.4014207952558	FALSE	Hyper	Tgfbr3	6-10
LOC_00016598	3	0.194953149198193	3	0	-0.14429650910506	0.355727469095421	429.284518688687	FALSE	Hyper	gtf2b	2-3
LOC_00016601	3	-0.25051454062261	0	3	0.117909464064121	0.363777058743036	1997.87030413803	FALSE	Hypo	O-fut1	2-3
LOC_00016614	2	-0.259900147341841	0	2	-0.0346688705437561	0.81157717180632	45.6357351060349	FALSE	Hypo	ZNF226	2-3
