gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin	display_name	concordant	quadrant
LOC_00008970	3	0.20054020693982	3	0	0.418030309601522	0.00494578327941046	4985.97473190307	TRUE	Hyper		2-3	LOC_00008970	TRUE	Hyper_Up
LOC_00002599	11	0.253010110511424	11	0	-0.415314377044398	0.000420211087160531	3587.05852128395	TRUE	Hyper	KANK1	>10	KANK1	FALSE	Hyper_Down
LOC_00004235	3	-0.244486638246193	0	3	0.409114143147933	0.00338610467513593	644.402050323894	TRUE	Hypo	Txndc16	2-3	Txndc16	FALSE	Hypo_Up
LOC_00003028	18	-0.283537999091184	0	18	0.407609656636563	0.00177387473466505	4910.01011171802	TRUE	Hypo	MAST1	>10	MAST1	FALSE	Hypo_Up
LOC_00024573	3	-0.256057069758678	0	3	-0.406076152858509	0.0183066143798489	683.997244152789	TRUE	Hypo		2-3	LOC_00024573	TRUE	Hypo_Down
LOC_00010923	4	0.170795134037361	4	0	0.405950812933583	0.00898139969740753	1856.39085575931	TRUE	Hyper	Nadk	4-5	Nadk	TRUE	Hyper_Up
LOC_00023390	4	-0.189794444078728	0	4	0.404858393604963	0.0096447159674458	2589.29718895678	TRUE	Hypo	PLEKHB2	4-5	PLEKHB2	FALSE	Hypo_Up
LOC_00025764	9	-0.304521336711479	0	9	0.40484030058694	0.0237255741808191	714.604465207665	TRUE	Hypo		6-10	LOC_00025764	FALSE	Hypo_Up
LOC_00018556	5	-0.0272511450620722	2	3	-0.404653782944923	0.0410185915819174	302.758123958407	TRUE	Hypo	Frmd4a	4-5	Frmd4a	TRUE	Hypo_Down
LOC_00018594	3	0.245194799389597	3	0	-0.403922278753738	0.000300794979995418	2633.43384107191	TRUE	Hyper	Cadps	2-3	Cadps	FALSE	Hyper_Down
LOC_00003555	8	0.189945873850944	8	0	0.402518110661362	0.0112050762634323	9960.3533974853	TRUE	Hyper	zfp36l2-A	6-10	zfp36l2-A	TRUE	Hyper_Up
LOC_00023551	3	-0.190685409748786	0	3	-0.40199283092541	0.0159324134939736	659.244625454229	TRUE	Hypo		2-3	LOC_00023551	TRUE	Hypo_Down
LOC_00014821	8	0.235606578477447	7	1	-0.401846915645514	0.00304769318019919	1218.20866944557	TRUE	Hyper	TGRH88_077530	6-10	TGRH88_077530	FALSE	Hyper_Down
LOC_00005902	10	-0.334794232799313	0	10	0.401519060415526	0.0263083838330606	1859.93790522113	TRUE	Hypo	sgmA	6-10	sgmA	FALSE	Hypo_Up
LOC_00018406	3	0.182522215801093	3	0	-0.401365794485441	0.000261742625714164	1970.3474568461	TRUE	Hyper	MYO3A	2-3	MYO3A	FALSE	Hyper_Down
LOC_00004331	5	-0.210150742897411	0	5	0.399465550368455	0.00727624748635399	877.571674308672	TRUE	Hypo	IHH	4-5	IHH	FALSE	Hypo_Up
LOC_00019563	3	0.23913833813145	3	0	0.397240524094852	0.01878267886323	4121.18794765838	TRUE	Hyper	SLC37A2	2-3	SLC37A2	TRUE	Hyper_Up
LOC_00002875	33	-0.0426626913015333	11	22	-0.396067568256242	0.0013482058596839	2254.21225650143	TRUE	Hypo	Ssbp3	>10	Ssbp3	TRUE	Hypo_Down
LOC_00006523	19	-0.25832407449077	0	19	-0.394099112204457	0.00204817296133217	1099.86468951104	TRUE	Hypo	Cdkl4	>10	Cdkl4	TRUE	Hypo_Down
LOC_00014481	6	0.245303050890955	6	0	0.38762787676649	0.00119544355309879	22791.7666589507	TRUE	Hyper	Col4a1	6-10	Col4a1	TRUE	Hyper_Up
LOC_00025608	5	0.0257490995972352	3	2	0.385895480824001	0.00592059092710909	725.680638761511	TRUE	Hyper	RASGRP3	4-5	RASGRP3	TRUE	Hyper_Up
LOC_00015659	5	-0.209316089198581	0	5	0.384744669985698	0.000792283530754622	7571.82387693065	TRUE	Hypo	SEPTIN2	4-5	SEPTIN2	FALSE	Hypo_Up
LOC_00005855	6	-0.234827686409182	0	6	-0.384338538487861	0.0194509906651029	884.728342546132	TRUE	Hypo		6-10	LOC_00005855	TRUE	Hypo_Down
LOC_00006896	8	0.180904200111461	8	0	0.382029908621493	0.00262038805006667	1322.39302732198	TRUE	Hyper	Pgant5	6-10	Pgant5	TRUE	Hyper_Up
LOC_00005370	6	0.193550759447613	6	0	0.3813329585067	0.0116177635048629	1583.28828802705	TRUE	Hyper		6-10	LOC_00005370	TRUE	Hyper_Up
LOC_00002436	9	0.261675069889298	9	0	0.377591976202381	0.0172114662756859	3658.36113585507	TRUE	Hyper	GALE	6-10	GALE	TRUE	Hyper_Up
LOC_00020798	14	0.367051551258536	14	0	-0.375897935201155	0.0288345407282786	2006.20624049949	TRUE	Hyper	KCNAB2	>10	KCNAB2	FALSE	Hyper_Down
LOC_00024590	8	0.280795951018455	8	0	-0.374339748938019	0.0327352468821603	2207.94639128464	TRUE	Hyper	DOCK2	6-10	DOCK2	FALSE	Hyper_Down
LOC_00021575	10	0.123803560339246	7	3	-0.370699421853599	0.0369937870235886	502.959985391284	TRUE	Hyper	NEK10	6-10	NEK10	FALSE	Hyper_Down
LOC_00020916	3	-0.0615271966897823	1	2	0.368263698398429	0.023567713845982	5063.46628828084	TRUE	Hypo	chs-1	2-3	chs-1	FALSE	Hypo_Up
LOC_00017118	4	-0.300670735281429	0	4	-0.365235778728058	0.0437321837952313	369.709862571824	TRUE	Hypo	EFNB2	4-5	EFNB2	TRUE	Hypo_Down
LOC_00019938	11	0.0684016118552277	7	4	-0.365039653775748	0.0325962256185876	281.927894597728	TRUE	Hyper	SV2B	>10	SV2B	FALSE	Hyper_Down
LOC_00018054	9	-0.164385601957552	3	6	-0.363277975947458	0.000748989454188567	33976.0260555294	TRUE	Hypo	CtsL1	6-10	CtsL1	TRUE	Hypo_Down
LOC_00011211	8	0.210472450343512	8	0	0.362519458299708	0.0251543211369707	51586.4791527171	TRUE	Hyper	RPS2	6-10	RPS2	TRUE	Hyper_Up
LOC_00019922	15	-0.0656908825137962	5	10	0.359663517762281	0.00188229013085859	3883.61645932736	TRUE	Hypo	CORO2A	>10	CORO2A	FALSE	Hypo_Up
