gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	display_name	concordant	quadrant
LOC_00018054	1	-0.359339807005282	6	-0.363277975947458	0.000748989454188567	33976.0260555294	TRUE	Hypo	CtsL1	CtsL1	TRUE	Hypo_Down
LOC_00011211	1	0.210472450343512	8	0.362519458299708	0.0251543211369707	51586.4791527171	TRUE	Hyper	RPS2	RPS2	TRUE	Hyper_Up
LOC_00019922	2	-0.000810804101843504	12	0.359663517762281	0.00188229013085859	3883.61645932736	TRUE	Hypo	CORO2A	CORO2A	FALSE	Hypo_Up
LOC_00024230	1	-0.271152982494862	5	0.359229839938588	0.00953536545415378	9320.98264096581	TRUE	Hypo	RPL29	RPL29	FALSE	Hypo_Up
LOC_00017077	1	-0.22379076850866	8	0.358973857423744	0.0206843778379368	563.410639572784	TRUE	Hypo	NHERF2	NHERF2	FALSE	Hypo_Up
LOC_00000257	1	0.275223641568456	5	-0.357174601201652	0.00203619535319924	7982.74175673196	TRUE	Hyper	GOLGB1	GOLGB1	FALSE	Hyper_Down
LOC_00008310	1	-0.192808529876789	4	0.356878624527534	0.0146321146894472	2119.29006048677	TRUE	Hypo		LOC_00008310	FALSE	Hypo_Up
LOC_00013977	2	-0.00902260138032102	14	0.356585476215638	0.00255254409001505	8660.09802467697	TRUE	Hypo	SEPTIN7	SEPTIN7	FALSE	Hypo_Up
LOC_00006822	1	0.162616157935834	8	-0.355634402140137	0.0306042425067684	6327.08759409379	TRUE	Hyper	RBMS3	RBMS3	FALSE	Hyper_Down
LOC_00021783	1	-0.234505059139773	9	0.354886685024549	0.0195055201135214	740.878259255857	TRUE	Hypo	Mettl5	Mettl5	FALSE	Hypo_Up
LOC_00016043	1	0.198335299951474	6	-0.353983712941459	0.0411072212371409	240.682688075085	TRUE	Hyper		LOC_00016043	FALSE	Hyper_Down
LOC_00011688	1	-0.29853827279411	5	0.348275131248472	0.0292126740110662	1829.24768998486	TRUE	Hypo	Eukaryotic	Eukaryotic	FALSE	Hypo_Up
LOC_00015472	2	-0.244643587363619	13	-0.345243617738106	0.0195959371657999	2484.55003793054	TRUE	Hypo	Doc2b	Doc2b	TRUE	Hypo_Down
LOC_00021098	1	0.257024047102058	11	-0.344301156416735	0.0281642929318648	2251.61839656574	TRUE	Hyper	SLC2A3	SLC2A3	FALSE	Hyper_Down
LOC_00017935	1	-0.280319083501857	5	0.344273214197266	0.0349603081293248	17286.2489406219	TRUE	Hypo	RPL13A	RPL13A	FALSE	Hypo_Up
LOC_00003083	1	0.203176598632419	8	0.342560925737443	0.0163233355558444	2504.2081841891	TRUE	Hyper	GGT1	GGT1	TRUE	Hyper_Up
LOC_00019958	1	-0.224119465558177	5	0.338013540538215	0.00188229013085859	4950.30559236531	TRUE	Hypo		LOC_00019958	FALSE	Hypo_Up
LOC_00019696	1	-0.208196741513511	10	0.33777088976233	0.00233668560192174	4469.08612814871	TRUE	Hypo	Sik3	Sik3	FALSE	Hypo_Up
LOC_00008380	1	0.494796304554277	4	0.335189383557139	0.00501778346397115	1760.29809855586	TRUE	Hyper	Deaf1	Deaf1	TRUE	Hyper_Up
LOC_00012007	1	0.21173001180151	8	-0.333934362988694	0.039473118551293	1580.96633545971	TRUE	Hyper	DOK2	DOK2	FALSE	Hyper_Down
LOC_00007195	1	-0.255382222166062	18	0.331660951206216	0.000596306035345269	7392.26471398122	TRUE	Hypo	UBA6	UBA6	FALSE	Hypo_Up
LOC_00019157	1	-0.246366353772968	6	-0.330840945720876	0.0342436573329886	407.946029943041	TRUE	Hypo	GLB1L2	GLB1L2	TRUE	Hypo_Down
LOC_00018846	1	-0.300892899408389	7	-0.330112595381037	0.0374191012053558	2249.9141026592	TRUE	Hypo		LOC_00018846	TRUE	Hypo_Down
LOC_00013001	1	-0.262447960505001	6	-0.329672043705987	0.00987130337368126	2466.88987863779	TRUE	Hypo	TSPAN18	TSPAN18	TRUE	Hypo_Down
LOC_00008667	1	-0.270269758813437	4	0.329204598144039	0.00323960551195413	2946.26319392859	TRUE	Hypo	Grb2	Grb2	FALSE	Hypo_Up
LOC_00003448	1	-0.33203950448851	4	-0.325467925402267	0.0381327946436868	974.780792693161	TRUE	Hypo	Polr2a	Polr2a	TRUE	Hypo_Down
LOC_00006557	1	0.208453961479233	14	-0.325282620142843	0.0377653854328318	429.200643664771	TRUE	Hyper	Itgb6	Itgb6	FALSE	Hyper_Down
LOC_00009859	1	-0.25817696681938	13	0.324834711347484	0.00757420747025615	7222.3291451694	TRUE	Hypo	RALGPS2	RALGPS2	FALSE	Hypo_Up
LOC_00009995	1	-0.195435669538591	7	-0.322384072405921	0.0478741030214999	2213.00530222559	TRUE	Hypo	ZNF808	ZNF808	TRUE	Hypo_Down
LOC_00017056	1	-0.214216033905565	4	0.318219522270636	0.0385706636316823	1604.9162893748	TRUE	Hypo	Wdr4	Wdr4	FALSE	Hypo_Up
LOC_00020453	1	0.183600360942849	6	0.317640780183787	0.0272933188897539	18215.4290769726	TRUE	Hyper	RPL23A	RPL23A	TRUE	Hyper_Up
LOC_00015783	2	-0.237323067299484	31	-0.313255184400161	0.0186816856508102	4092.04395104166	TRUE	Hypo	YMR196W	YMR196W	TRUE	Hypo_Down
LOC_00025233	1	0.278193165008344	4	0.31094530731322	0.0271982077365282	1402.10149840944	TRUE	Hyper	CYP2U1	CYP2U1	TRUE	Hyper_Up
LOC_00012505	1	0.278734307328121	7	0.308962574629771	0.0327026785717255	6471.20752515637	TRUE	Hyper	rpl37	rpl37	TRUE	Hyper_Up
LOC_00023922	1	0.299662603748821	6	0.308538386841254	0.0171030665170776	836.067239612027	TRUE	Hyper	cAMP-dependent	cAMP-dependent	TRUE	Hyper_Up
LOC_00006167	1	-0.253326737036105	8	-0.304369952363365	0.0415592985179039	530.187523329811	TRUE	Hypo	Pde6	Pde6	TRUE	Hypo_Down
LOC_00015387	2	-0.0157092641268745	13	-0.302157439048958	0.0164089212994483	4880.50025379599	TRUE	Hypo	ANKRD28	ANKRD28	TRUE	Hypo_Down
LOC_00023162	3	0.0991018891058003	18	0.298466151329347	0.0178078135303051	59357.3545555974	TRUE	Hyper	KLH1	KLH1	TRUE	Hyper_Up
LOC_00010548	1	-0.267709361092421	4	-0.297734415518447	0.00737216500045797	1222.09621493367	TRUE	Hypo	Jph3	Jph3	TRUE	Hypo_Down
LOC_00009546	1	-0.511096798645119	6	0.297289270233696	0.0260959556350287	5261.01958449815	TRUE	Hypo	EEIG2	EEIG2	FALSE	Hypo_Up
LOC_00017589	1	0.306484597129251	7	0.296317949239228	0.0349421431824937	1001.51385214577	TRUE	Hyper	UbcE2M	UbcE2M	TRUE	Hyper_Up
LOC_00006008	2	-0.264452016628994	12	-0.296069281524246	0.0375203204475103	1995.63426942279	TRUE	Hypo	PDZD2	PDZD2	TRUE	Hypo_Down
LOC_00017399	1	0.192826293159514	18	-0.29475281038122	0.0223183432744332	951.446786862056	TRUE	Hyper		LOC_00017399	FALSE	Hyper_Down
LOC_00011859	1	0.214432788555116	5	-0.292640746637663	0.0122728448562829	2676.73398179875	TRUE	Hyper	LAMA1	LAMA1	FALSE	Hyper_Down
LOC_00023033	1	-0.180653504668405	4	0.291941324996571	0.0347139620970225	6851.31807153005	TRUE	Hypo	SPAN	SPAN	FALSE	Hypo_Up
LOC_00010872	1	0.341260735382045	11	0.288349057669171	0.015265713582362	4895.67553376566	TRUE	Hyper	Ddi2	Ddi2	TRUE	Hyper_Up
LOC_00002835	1	-0.194376231369617	7	-0.286632967023596	0.0269085782478464	4727.8585514524	TRUE	Hypo	ROCK1	ROCK1	TRUE	Hypo_Down
LOC_00023440	1	-0.195208306772176	7	0.285819601501795	0.0309912618819628	6708.00196449009	TRUE	Hypo	LIMS1	LIMS1	FALSE	Hypo_Up
LOC_00011639	1	0.30099690366865	5	0.283976346981405	0.0412111102152685	9926.42683191833	TRUE	Hyper	Wbp2	Wbp2	TRUE	Hyper_Up
LOC_00006897	1	0.278669552084065	10	0.28170929557358	0.00918907205789222	1982.34441536859	TRUE	Hyper	PKD1L1	PKD1L1	TRUE	Hyper_Up
LOC_00007896	1	0.275865934259031	6	-0.278778128204931	0.0314697335517937	2913.64803353221	TRUE	Hyper	Suco	Suco	FALSE	Hyper_Down
LOC_00015098	1	0.24714921901091	14	0.27844646684565	0.0220931367630079	2007.79315552089	TRUE	Hyper	zc2hc1a	zc2hc1a	TRUE	Hyper_Up
LOC_00013936	1	0.176902627508587	5	0.274829212658053	0.0257196361557769	1831.54255500996	TRUE	Hyper	ZNF341	ZNF341	TRUE	Hyper_Up
LOC_00021049	1	-0.240271024243009	8	-0.270319069083691	0.0289042250875146	3068.55047293019	TRUE	Hypo	Ano7	Ano7	TRUE	Hypo_Down
LOC_00021226	1	0.250858749559229	11	0.268945245354546	0.0221670069519536	4734.11658828775	TRUE	Hyper	MFN2	MFN2	TRUE	Hyper_Up
LOC_00015110	1	-0.235682368455466	10	0.265875066192636	0.0394732379769624	14980.4780707591	TRUE	Hypo	sdha	sdha	FALSE	Hypo_Up
LOC_00000368	1	-0.364115200527558	17	-0.263036640953674	0.0484560749145332	842.861278474763	TRUE	Hypo	ARHGAP8	ARHGAP8	TRUE	Hypo_Down
LOC_00018920	1	0.263777171086812	4	0.258502923295121	0.036163394241602	7310.54468070937	TRUE	Hyper	Guanine	Guanine	TRUE	Hyper_Up
LOC_00021289	1	0.186587915978769	4	-0.251553484674689	0.0219046140861289	4112.51034399169	TRUE	Hyper	Slc2a8	Slc2a8	FALSE	Hyper_Down
LOC_00015632	1	-0.231228296837595	5	-0.251223761749164	0.0426593699501515	3053.25279579864	TRUE	Hypo		LOC_00015632	TRUE	Hypo_Down
LOC_00014414	1	-0.292051854023776	6	0.244445585386004	0.0301553093921294	3017.74212858735	TRUE	Hypo	Med12l	Med12l	FALSE	Hypo_Up
LOC_00023928	1	-0.195973268246064	8	0.244224705366026	0.0252412328460048	2254.50645359398	TRUE	Hypo	PBRM1	PBRM1	FALSE	Hypo_Up
LOC_00012569	2	-0.249396958510679	9	0.241485188565374	0.0298052298822347	33077.0591802736	TRUE	Hypo	ABT	ABT	FALSE	Hypo_Up
LOC_00000775	1	0.260872605710906	5	-0.238217389549212	0.0481359356796626	11221.6233827718	TRUE	Hyper	AMD1	AMD1	FALSE	Hyper_Down
LOC_00000504	1	-0.206883998586125	4	0.236539683622559	0.0345965421952118	2928.20827853937	TRUE	Hypo		LOC_00000504	FALSE	Hypo_Up
LOC_00019581	1	-0.205907530709545	8	0.227573313584897	0.0356423485061564	7388.59803584368	TRUE	Hypo		LOC_00019581	FALSE	Hypo_Up
LOC_00000632	1	0.213762477993467	4	0.22529176474801	0.0409921160768558	50910.2004447363	TRUE	Hyper	Cd164	Cd164	TRUE	Hyper_Up
LOC_00020660	1	0.244202757947655	6	0.216401727626796	0.0484560749145332	2583.12565574943	TRUE	Hyper	MTP5	MTP5	TRUE	Hyper_Up
LOC_00021854	1	0.243275679059351	7	-0.138372416222242	0.0473773581813103	437.052503710311	TRUE	Hyper	Hsc70-3	Hsc70-3	FALSE	Hyper_Down
