gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name
LOC_00003555	1	0.189945873850944	8	0.402518110661362	0.0112050762634323	9960.3533974853	TRUE	Hyper	zfp36l2-A
LOC_00003589	1	-0.272068673774486	7	-0.0395276796604994	0.824362789603289	526.226388215167	FALSE	Hypo	ppp2r3c
LOC_00003591	1	-0.272068673774486	7	-0.0940401088620827	0.549051488882051	11219.3249544297	FALSE	Hypo	ANK1
LOC_00003604	1	0.165999779780421	6	-0.0654646171730118	0.657979805796757	558.064396068445	FALSE	Hyper	Taf6l
LOC_00003606	1	0.264366542394534	4	0.0518031577177939	0.728421261127416	4644.44766988935	FALSE	Hyper	MVP
LOC_00003607	1	0.264366542394534	4	-0.0547866021863873	0.736180713002968	176.122344808436	FALSE	Hyper	ngb
LOC_00003619	1	-0.211883338264902	13	0.181231782691506	0.158515745445952	1843.90656052871	FALSE	Hypo	CNIH1
LOC_00003684	1	-0.210025252337644	16	0.0794308104119164	0.555118237574359	2924.58538186148	FALSE	Hypo	Mthfd1
LOC_00003714	1	0.220468091955199	4	-0.327463707591353	0.111356527394927	94.3486633188729	FALSE	Hyper	RGS22
LOC_00003750	1	-0.203541992981159	6	0.027325345097993	0.876146050565552	577.308883279762	FALSE	Hypo	MRPS10
LOC_00003764	1	-0.247137364396003	8	0.0408532508442259	0.769379036871697	2602.48541368625	FALSE	Hypo	
LOC_00003786	1	0.306709099056944	8	-0.0287033934765835	0.867416656087631	480.436417612482	FALSE	Hyper	NVL
LOC_00003816	1	-0.181391158749206	9	0.245651137758983	0.0522974518352915	10303.3060451331	FALSE	Hypo	
LOC_00003851	1	0.250790321984024	4	0.0391638647741152	0.805368322093107	1164.72535489315	FALSE	Hyper	Ehbp1
LOC_00003866	1	-0.27269789963825	13	-0.459723109012567	0.0558047760735779	4085.20068071711	FALSE	Hypo	cky-1
LOC_00003875	1	-0.209728433898209	16	-0.64458065655024	0.000672412505436022	444.825385926656	TRUE	Hypo	Wdr64
LOC_00003905	1	0.191579685997745	13	-0.115582035174095	0.427449208912208	3398.11441646147	FALSE	Hyper	Polypeptide
LOC_00003911	1	0.187999371813021	7	-0.0213471256270709	0.901150153939995	630.85717255755	FALSE	Hyper	Rbks
LOC_00003925	1	0.199241110358623	5	-0.164220095889045	0.159733361611239	3515.214734204	FALSE	Hyper	Msp300
LOC_00003927	1	0.200996890902958	4	0.110354688108671	0.408366133675066	1076.61797557985	FALSE	Hyper	Nudt22
LOC_00003928	1	0.200996890902958	4	0.024944389006188	0.884816219352249	838.079890692621	FALSE	Hyper	Trnt1
LOC_00003930	1	0.276484757673286	4	-0.0218870301645256	0.899485650083485	169.19362764481	FALSE	Hyper	BBOF1
LOC_00003932	1	0.290416406838844	9	-0.148284880637453	0.280306770189487	1726.97670835843	FALSE	Hyper	PPP4R4
LOC_00003938	1	-0.207386276594646	6	-0.0667874319715401	0.653270690814399	8548.38552859151	FALSE	Hypo	CEP170B
LOC_00003965	1	-0.210080521622649	8	0.102143019375062	0.510520649717952	136.509321985786	FALSE	Hypo	COX20
LOC_00003966	1	-0.210080521622649	8	-0.0265950504375633	0.878256576234894	696.701331275205	FALSE	Hypo	
LOC_00004005	1	0.157244730343058	9	0.105562000646842	0.49558200776349	265.594289806502	FALSE	Hyper	DHRS7
LOC_00004006	1	0.157244730343058	9	-0.120984370420828	0.395172765464125	506.28673990357	FALSE	Hyper	COA8
LOC_00004023	1	-0.228122680358958	13	0.0525140704345303	0.701589638171489	47.0528359918513	FALSE	Hypo	RORA
LOC_00004061	1	-0.195414392377021	4	0.0335245282791957	0.836243035229682	845.593205990027	FALSE	Hypo	Park7
LOC_00004062	1	-0.195414392377021	4	-0.51602019424264	0.000375575693607503	2861.77992536734	TRUE	Hypo	PLEKHD1
LOC_00004117	1	0.246609770558957	7	-0.141343978669904	0.288484770314	9850.87823247123	FALSE	Hyper	ENTPD8
