tf_upper	yin_source	yin_call	yin_enrichment	mm_class	mm_high	mm_low	mm_cell	final_call	sources_agree
RARA	DBD	MethylPlus	0.86388901					MethylPlus	
RARB	FL_only	MethylPlus	1.63283615					MethylPlus	
RARG	DBD	MethylPlus	0.95663246					MethylPlus	
RBAK				MethylPlus	0.7789	0.0709	HEK293	MethylPlus	
RBM25				Intermediate	0.0718	0.5772	K562	Intermediate	
RELB				MethylMinus	0.0109	0.7565	GM12878	MethylMinus	
REST				Intermediate	0.2069	0.5565	HEK293	Intermediate	
RFX1				MethylMinus	0.0638	0.6297	K562	MethylMinus	
RFX3				MethylMinus	0.1495	0.6363	HepG2	MethylMinus	
RFX5	DBD	MethylPlus	0.50491798	MethylMinus	0.0774	0.7412	HepG2	MethylPlus	FALSE
RING1				Intermediate	0.3183	0.0088	H1-hESC	Intermediate	
RORB	DBD	MethylPlus	1.61538513					MethylPlus	
RUNX1				MethylMinus	0	0.8815	K562	MethylMinus	
RUNX2	DBD	MethylMinus	-0.33804356					MethylMinus	
RUNX3	DBD	MethylMinus	-0.70303032	MethylMinus	0.0084	0.7072	GM12878	MethylMinus	TRUE
RXRA				MethylMinus	0.013	0.8267	HepG2	MethylMinus	
RXRB	DBD	MethylPlus	0.57142853					MethylPlus	
RXRG	FL_only	MethylPlus	1.67674924					MethylPlus	
SCRT1	DBD	MethylPlus	1.53846313	Intermediate	0.3815	0.3528	HEK293	MethylPlus	FALSE
SCRT2	DBD	MethylPlus	1.28571442	Intermediate	0.3584	0.332	HEK293	MethylPlus	FALSE
SIX4				MethylMinus	0.1061	0.7941	MCF-7	MethylMinus	
SIX5				MethylMinus	0	0.8907	GM12878	MethylMinus	
SMAD1				MethylMinus	0.0057	0.8765	K562	MethylMinus	
SMAD2				Intermediate	0.1778	0.5111	H9	Intermediate	
SMAD3				Intermediate	0.2963	0.4444	H9	Intermediate	
SMAD4				Intermediate	0.1333	0.2667	H9	Intermediate	
SMARCA5				Intermediate	0.084	0.499	K562	Intermediate	
SMARCC2				MethylMinus	0	0.963	K562	MethylMinus	
SMARCE1				MethylMinus	0	0.9508	MCF-7	MethylMinus	
SNAI1	DBD	MethylPlus	0.20430124					MethylPlus	
SNAI2	FL_only	MethylPlus	0.28030289					MethylPlus	
SOHLH2	DBD	MethylMinus	-0.70634926					MethylMinus	
SOX13				MethylMinus	0	1	HepG2	MethylMinus	
SOX17				Intermediate	0.1762	0.4359	HUES64	Intermediate	
SOX2				Intermediate	0.0444	0.3899	H1-hESC	Intermediate	
