tf	id	cell	disease	n_cpg_positions	total_cpg_observations	mean_frac_high_meth	mean_frac_low_meth	max_frac_high_at_any_pos	motif_width	methmotif_class
POU2F2	MM1_HSA_GM12878_POU2F2	GM12878	normal	4	185	0.0143	0.8083	0.0303	13	MethylMinus
POU5F1	MM1_HSA_HUES64_POU5F1	HUES64	normal	6	334	0.1043	0.3365	0.359	15	Intermediate
PPARG	MM1_HSA_HepG2_PPARG	HepG2	tumor	7	661	0.0072	0.816	0.034	15	MethylMinus
PRDM1	MM1_HSA_HEK293_PRDM1	HEK293	normal	9	773	0.3602	0.2887	0.4789	15	Intermediate
PRDM4	MM1_HSA_HEK293_PRDM4	HEK293	normal	9	671	0.1722	0.5257	0.4155	15	Intermediate
RBAK	MM1_HSA_HEK293_RBAK	HEK293	normal	2	70	0.7789	0.0709	0.8305	20	MethylPlus
RBM25	MM1_HSA_K562_RBM25	K562	tumor	7	701	0.0718	0.5772	0.1806	15	Intermediate
RELB	MM1_HSA_GM12878_RELB	GM12878	normal	2	178	0.0109	0.7565	0.0219	11	MethylMinus
REST	MM1_HSA_HEK293_REST	HEK293	normal	16	3786	0.2069	0.5565	0.339	21	Intermediate
RFX1	MM1_HSA_K562_RFX1	K562	tumor	10	3163	0.0638	0.6297	0.1538	15	MethylMinus
RFX3	MM1_HSA_HepG2_RFX3	HepG2	tumor	6	791	0.1495	0.6363	0.3913	14	MethylMinus
RFX5	MM1_HSA_HepG2_RFX5	HepG2	tumor	8	267	0.0774	0.7412	0.1818	14	MethylMinus
RING1	MM1_HSA_H1-hESC_RING1	H1-hESC	normal	6	1697	0.3183	0.0088	0.4192	15	Intermediate
RUNX1	MM1_HSA_K562_RUNX1	K562	tumor	1	211	0	0.8815	0	10	MethylMinus
RUNX3	MM1_HSA_GM12878_RUNX3	GM12878	normal	5	542	0.0084	0.7072	0.0303	11	MethylMinus
RXRA	MM1_HSA_HepG2_RXRA	HepG2	tumor	4	237	0.013	0.8267	0.0333	11	MethylMinus
SCRT1	MM1_HSA_HEK293_SCRT1	HEK293	normal	5	725	0.3815	0.3528	0.6559	11	Intermediate
SCRT2	MM1_HSA_HEK293_SCRT2	HEK293	normal	8	2256	0.3584	0.332	0.6824	13	Intermediate
SIX4	MM1_HSA_MCF-7_SIX4	MCF-7	tumor	3	83	0.1061	0.7941	0.2727	15	MethylMinus
SIX5	MM1_HSA_GM12878_SIX5	GM12878	normal	3	202	0	0.8907	0	15	MethylMinus
SMAD1	MM1_HSA_K562_SMAD1	K562	tumor	7	156	0.0057	0.8765	0.04	15	MethylMinus
SMAD2	MM1_HSA_H9_SMAD2	H9	normal	1	45	0.1778	0.5111	0.1778	7	Intermediate
SMAD3	MM1_HSA_H9_SMAD3	H9	normal	1	27	0.2963	0.4444	0.2963	8	Intermediate
SMAD4	MM1_HSA_H9_SMAD4	H9	normal	1	15	0.1333	0.2667	0.1333	7	Intermediate
SMARCA5	MM1_HSA_K562_SMARCA5	K562	tumor	10	665	0.084	0.499	0.1818	21	Intermediate
SMARCC2	MM1_HSA_K562_SMARCC2	K562	tumor	3	48	0	0.963	0	11	MethylMinus
SMARCE1	MM1_HSA_MCF-7_SMARCE1	MCF-7	tumor	12	1399	0	0.9508	0	19	MethylMinus
SOX13	MM1_HSA_HepG2_SOX13	HepG2	tumor	1	11	0	1	0	8	MethylMinus
SOX17	MM1_HSA_HUES64_SOX17	HUES64	normal	3	146	0.1762	0.4359	0.2439	11	Intermediate
