gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00006588	13	0.016218641685608	0.0105461169610915	-0.0056725247245165	0.00256410256410256	0.0014792899408284	1	2.33150785327333	1	NS
LOC_00006589	2300	0.0657395181647249	0.0668977248193269	0.00115820665460196	0.0576350718765362	0.0581892463576284	0.658313322716035	2.5435357331613	0.925867957967716	NS
LOC_00006590	552	0.0158637653755592	0.0190551087002816	0.00319134332472237	0.00278972569486597	0.00295681743800581	0.247202295923962	8.54163999973545	0.70729719604641	NS
LOC_00006591	361	0.392799655554048	0.384275141186928	-0.00852451436711972	0.882305937720614	0.887790046161593	0.509585500444207	4.93280416291386	0.865525718057349	NS
LOC_00006592	357	0.397110791709753	0.395436197807903	-0.00167459390185029	0.869274812946091	0.87246514153932	0.793977419982554	8.43946242427654	0.965662777291308	NS
LOC_00006593	149	0.435043032151252	0.459418836686575	0.0243758045353229	0.837412704779982	0.836431366925894	0.189356864376275	3.35113421974146	0.650098171597905	NS
LOC_00006594	322	0.195832913362225	0.198987950694917	0.00315503733269219	0.245997393506342	0.245085830304973	0.527517615778166	4.40305936690274	0.873703633513263	NS
LOC_00006595	329	0.235140414937788	0.241213632888751	0.00607321795096342	0.925157769453192	0.92450774609335	0.452298050551182	9.43270330454571	0.838880348591061	NS
LOC_00006596	5419	0.0188086185519132	0.0197635371286973	0.000954918576784095	0.00298971227342427	0.00320642172860992	0.404972733874419	3.81823705713907	0.813974856269335	NS
LOC_00006597	835	0.0173026344356059	0.01634034030864	-0.00096229412696587	0.00272116487856513	0.00251233712589062	0.996102052488301	3.45728712164701	1	NS
LOC_00006598	2122	0.362627130124012	0.351726075225692	-0.0109010548983194	0.373728420898796	0.383127826146807	0.000140664252555054	4.0234583605906	0.0252694126056411	Entropy_Down
LOC_00006599	1870	0.203620858914884	0.206701160134979	0.003080301220095	0.326374394972469	0.325657686277333	0.278659771410845	9.76756820615359	0.73643812751002	NS
LOC_00006600	8	0.0312352896370711	0.167847464104245	0.136612174467174	0.00520833333333333	0.0360863095238095	0.18144920772142	2.32886752070871	0.646151783276668	NS
LOC_00006601	651	0.340286613401364	0.342370494471399	0.00208388107003454	0.721531437597502	0.717920181232511	0.703017523559367	12.2363274716399	0.940742205048119	NS
LOC_00006603	616	0.0166200057917557	0.0169727480389832	0.000352742247227444	0.00268249577551189	0.00268579291512125	0.859154192291386	7.99423075074441	0.978836325119848	NS
