gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class
LOC_00009267	565	0.423062652160704	0.375785467966175	-0.0472771841945292	0.852037869135549	0.868760275421123	0.00000388548219632832	5.20371753269638	0.00316980626408923	Entropy_Down	118	3+ exon
LOC_00010075	587	0.310713723389064	0.264475576616438	-0.0462381467726254	0.475807752923837	0.480565454365835	0.000000228016232871924	8.28499988406208	0.000372034793495875	Entropy_Down	122	3+ exon
LOC_00000429	210	0.0607073764050621	0.0146953211470381	-0.046012055258024	0.014442517486089	0.00250036641470634	0.000143994823286601	2.50015185337686	0.0252694126056411	Entropy_Down	5	3+ exon
LOC_00000298	345	0.458049509949934	0.412114198246649	-0.045935311703285	0.835473891221179	0.849272605365242	0.0000262706255621504	4.28783185912079	0.00977589892629426	Entropy_Down	14	3+ exon
LOC_00017501	363	0.337101807870369	0.292464830569463	-0.0446369773009055	0.87840835328247	0.890759506662271	0.0002999199440978	7.99739795725783	0.0405400819691206	Entropy_Down	50	3+ exon
LOC_00008331	355	0.491957249387209	0.447446732765039	-0.0445105166221702	0.803853767557199	0.815143818787778	0.000326124302100727	7.43283971707175	0.0424480268102882	Entropy_Down	31	3+ exon
LOC_00012447	446	0.259177853088942	0.214952507639592	-0.0442253454493493	0.399583579830471	0.407359595826404	0.000113349733423459	6.84193309662498	0.0222600239939098	Entropy_Down	36	3+ exon
LOC_00012848	406	0.630942149868795	0.587109275756461	-0.0438328741123341	0.749818650399795	0.774210026585175	0.0000296251367637538	4.31901433315488	0.0101740974282892	Entropy_Down	13	3+ exon
LOC_00006649	299	0.534453509334773	0.490826567819858	-0.0436269415149148	0.81173590836327	0.832033919883767	0.000149868965208878	5.60244503229253	0.0260563165659468	Entropy_Down	29	3+ exon
LOC_00025734	303	0.582278953691472	0.539035134335151	-0.043243819356321	0.774571891366657	0.795009013572841	0.0000384914763268177	5.2900113933139	0.0121857120054945	Entropy_Down	32	3+ exon
LOC_00018140	378	0.608977777497443	0.566379806188667	-0.0425979713087764	0.797539968907885	0.818321187366376	0.0000753192189550071	7.5348836721517	0.017950516328704	Entropy_Down	93	3+ exon
