motif_id	motif_name	tf_class	methyl_sens	odds_ratio	pvalue	n_concord	n_bg	fdr
MA1961.2	PATZ1	Factors with multiple dispersed zinc fingers	Unknown	1.07470367196142	0.299852231473294	154	30872	0.91564882563275
MA0813.1	TFAP2B	AP-2	Unknown	1.07420616451754	0.341782828259701	72	14440	0.91564882563275
MA0857.1	Rarb	Thyroid hormone receptor-related factors (NR1)	Unknown	1.07387281056887	0.321745117083695	104	20864	0.91564882563275
MA1971.2	ZBED2	BED zinc finger factors	Unknown	1.07378686116047	0.353594827334608	60	12038	0.91564882563275
MA0059.2	MAX::MYC	bHLH-ZIP	MethylMinus	1.07365113736896	0.333469038782041	85	17056	0.91564882563275
MA1704.2	zip-8	Jun-related	Unknown	1.07351801404517	0.354176523541389	60	12041	0.91564882563275
MA2292.1	wor	More than 3 adjacent zinc fingers	Unknown	1.07332732222133	0.32745842251299	96	19269	0.91564882563275
MA2096.1	ZNF524	More than 3 adjacent zinc fingers	Unknown	1.07330423873902	0.328675946075324	94	18868	0.91564882563275
MA0258.2	ESR2	Steroid hormone receptors (NR3)	Unknown	1.07319108416473	0.331356676384312	90	18067	0.91564882563275
MA0493.3	KLF1	Three-zinc finger Kruppel-related	Unknown	1.07270346729471	0.310369698054212	138	27716	0.91564882563275
MA1653.2	ZNF148	More than 3 adjacent zinc fingers	Unknown	1.07232508781224	0.305884432466933	155	31141	0.91564882563275
MA2143.1	nhr-25	FTZF1related(NR5A)	Unknown	1.07211698698559	0.346538836519363	72	14468	0.91564882563275
MA0136.4	Elf5	Ets-related	MethylMinus	1.07165125703009	0.325268689118325	108	21711	0.91564882563275
MA0019.2	Ddit3::Cebpa	CEBP-related	Unknown	1.07154595012419	0.359450810561112	59	11862	0.91564882563275
MA1843.2	AP4	bHLH-ZIP	MethylMinus	1.07117946052345	0.352823422856278	67	13475	0.91564882563275
MA0751.2	ZIC4	More than 3 adjacent zinc fingers	Unknown	1.07084597816212	0.345648486802503	77	15491	0.91564882563275
MA0901.3	HOXB13	HOX	MethylPlus	1.07065701561984	0.325441933667356	113	22737	0.91564882563275
MA0494.2	Nr1h3::Rxra	Thyroid hormone receptor-related factors (NR1)	Unknown	1.07062204098292	0.346906038334395	76	15293	0.91564882563275
MA0867.3	SOX4	SOX-related factors	LittleEffect	1.07051190808363	0.318273397784603	132	26565	0.91564882563275
MA1466.2	ATF6	Jun-related	Unknown	1.07049803620456	0.343637620825373	81	16301	0.91564882563275
MA1986.2	ZNF692	More than 3 adjacent zinc fingers	Unknown	1.07003354957187	0.337224246905359	93	18724	0.91564882563275
MA1714.2	ZNF675	More than 3 adjacent zinc fingers	Unknown	1.06961576845543	0.328099577841578	113	22759	0.91564882563275
MA2192.1	Atf-2	Jun-related	Unknown	1.06950698183975	0.350994268713382	74	14906	0.91564882563275
MA1588.1	ZNF136	More than 3 adjacent zinc fingers	Unknown	1.06892209913894	0.346052384045389	83	16728	0.91564882563275
MA1462.2	vfl	More than 3 adjacent zinc fingers	Unknown	1.06836712624428	0.348037462745244	82	16535	0.91564882563275
MA1632.2	ATF2	Jun-related	Unknown	1.06804203148473	0.342684839222764	92	18557	0.91564882563275
MA1911.2	Rel	NF-kappaB-related factors	LittleEffect	1.0671162297944	0.369119556828544	59	11911	0.91564882563275
MA0018.5	CREB1	CREB-related factors	MethylMinus	1.06655705563653	0.356439543801794	76	15351	0.91564882563275
MA1625.2	Stat5b	STAT factors	Unknown	1.0664874831682	0.351277570367073	84	16968	0.91564882563275
MA2331.1	ZNF157	More than 3 adjacent zinc fingers	Unknown	1.0658822348997	0.350318939114323	88	17786	0.91564882563275
MA0730.1	RARA	Thyroid hormone receptor-related factors (NR1)	Unknown	1.06526433357753	0.358125746088199	78	15774	0.91564882563275
MA0035.5	GATA1	C4-GATA-related	Unknown	1.06478382587568	0.349653231858613	94	19018	0.91564882563275
MA1702.2	Pdp1	CEBP-related	Unknown	1.06439639518401	0.386497477389334	48	9715	0.91564882563275
MA0685.2	SP4	Three-zinc finger Kruppel-related	Unknown	1.0638251651283	0.334120788821426	138	27946	0.91564882563275
MA0803.1	TBX15	TBX1-related factors	Unknown	1.06338527969669	0.378284746542897	58	11750	0.91564882563275
MA2124.1	Hmga1	HMGA	LittleEffect	1.0633769284612	0.340502823150156	123	24919	0.91564882563275
MA1965.2	SP5	Three-zinc finger Kruppel-related	Unknown	1.06257546675622	0.32956302647157	167	33858	0.91564882563275
MA2121.1	ZNF213	More than 3 adjacent zinc fingers	Unknown	1.06256886669363	0.349396248084001	106	21490	0.91564882563275
MA0139.2	CTCF	More than 3 adjacent zinc fingers	Unknown	1.06220110748529	0.346718945875762	115	23324	0.91564882563275
MA1974.2	ZNF211	Factors with multiple dispersed zinc fingers	Unknown	1.06169837108263	0.368678133562573	75	15218	0.91564882563275
MA0594.3	HOXA9	HOX	Unknown	1.06169115040762	0.396824979946252	44	8928	0.91564882563275
MA1604.2	Ebf2	Early B-Cell Factor-related factors	Unknown	1.06132798350901	0.363877874738425	84	17050	0.91564882563275
MA2226.1	ERR	Steroid hormone receptors (NR3)	Unknown	1.06006391491407	0.367582795209226	83	16867	0.91564882563275
MA0636.1	BHLHE41	Hairy-related factors	Unknown	1.06000087990774	0.391486367916354	52	10568	0.91564882563275
MA0844.2	XBP1	XBP-1-related factors	Unknown	1.05983121251154	0.383587311837794	61	12399	0.91564882563275
MA2325.1	EPAS1	PAS domain factors	Unknown	1.05969739998947	0.399705999630728	45	9148	0.91564882563275
MA1615.2	Plagl1	More than 3 adjacent zinc fingers	Unknown	1.05924350842352	0.359386625968887	103	20947	0.91564882563275
MA1607.2	Foxl2	FOX	MethylMinus	1.05920350737817	0.357507104015851	108	21966	0.91564882563275
MA0731.1	BCL6B	More than 3 adjacent zinc fingers	Unknown	1.05911069753929	0.374889189738127	75	15255	0.91564882563275
MA2256.1	mid	TBX1-related factors	Unknown	1.05887031226876	0.376127368314585	74	15055	0.91564882563275
MA2284.1	ss	PAS domain factors	Unknown	1.05877013911987	0.366380984466652	91	18515	0.91564882563275
MA1532.2	NR1D2	Thyroid hormone receptor-related factors (NR1)	Unknown	1.05831267948132	0.376171129884076	76	15470	0.91564882563275
MA2336.1	ZSCAN21	More than 3 adjacent zinc fingers	Unknown	1.05815796810113	0.360684738391788	107	21784	0.91564882563275
MA1966.2	TFAP4::ETV1	bHLH-ZIP	MethylMinus	1.05785972051763	0.36389048283672	101	20567	0.91564882563275
MA1479.2	DMRTC2	DMRT factors	Unknown	1.05762211537439	0.372493586658421	85	17313	0.91564882563275
MA0800.2	EOMES	TBrain-related factors	Unknown	1.05683084893243	0.377922577816649	79	16103	0.91564882563275
MA1922.2	Tbx2/3	TBX2-related factors	Unknown	1.05655795505078	0.397056293925592	54	11010	0.91564882563275
MA1122.2	TFDP1	E2F	Unknown	1.05576062660493	0.385587956796565	71	14487	0.91564882563275
MA2220.1	E(spl)mbeta-HLH	Hairy-related factors	Unknown	1.05559454711991	0.399180637488462	54	11020	0.91564882563275
MA0811.2	TFAP2B	AP-2	Unknown	1.0549770326773	0.373670907885982	96	19602	0.91564882563275
MA0242.1	Bgb::run	Runt-related factors	Unknown	1.05479967522347	0.382347412200736	80	16338	0.91564882563275
MA1496.2	HOXA4	HOX	Unknown	1.05455019512393	0.362547724431929	129	26352	0.91564882563275
MA2209.1	CrebA	CREB-related factors	Unknown	1.05429409368081	0.41312033233178	43	8786	0.91564882563275
MA2305.1	cyc	PAS domain factors	Unknown	1.05377541253904	0.409880358175731	47	9608	0.91564882563275
MA2282.1	SREBP	bHLH-ZIP	MethylMinus	1.05368537201731	0.384001262885607	82	16764	0.91564882563275
MA0795.1	SMAD3	SMAD factors	Unknown	1.05364447782508	0.3985072639503	60	12267	0.91564882563275
MA0065.3	Pparg::Rxra	Thyroid hormone receptor-related factors (NR1)	Unknown	1.05336457236828	0.366788586435195	126	25768	0.91564882563275
MA0079.5	SP1	Three-zinc finger Kruppel-related	MethylMinus	1.05324834728206	0.364703494394041	134	27407	0.91564882563275
MA0465.3	CDX2	HOX	MethylPlus	1.05323365586198	0.39364393376112	68	13908	0.91564882563275
MA1147.2	NR4A2::RXRA	NGFI-B-related receptors (NR4)	Unknown	1.05300901375099	0.382576884487588	88	18002	0.91564882563275
MA2155.1	sptf-3	Three-zinc finger Kruppel-related	Unknown	1.0528996601985	0.389376384479217	76	15549	0.91564882563275
MA0917.1	gcm2	GCM	Unknown	1.05281056472698	0.405348383363445	54	11049	0.91564882563275
MA0472.2	EGR2	Three-zinc finger Kruppel-related	MethylMinus	1.05257562255552	0.383194930940793	89	18214	0.91564882563275
MA1651.2	ZFP42	More than 3 adjacent zinc fingers	Unknown	1.05228690726784	0.371713775877178	120	24566	0.91564882563275
MA0130.1	ZNF354C	More than 3 adjacent zinc fingers	Unknown	1.05225279340429	0.357102543225454	179	36645	0.91564882563275
MA0822.1	HES7	Hairy-related factors	Unknown	1.05209756454154	0.416552855882218	44	9009	0.91564882563275
MA2258.1	Mnt	bHLH-ZIP	MethylMinus	1.05190281521975	0.401753524274932	61	12492	0.91564882563275
MA0152.3	Nfatc2	NFAT-related factors	Unknown	1.05156833574822	0.374364040438044	118	24173	0.91564882563275
MA1631.2	ASCL1	MyoD/ASC-related factors	Unknown	1.05120790658623	0.37850854488623	109	22337	0.91564882563275
MA1529.2	NHLH2	Tal-related	Unknown	1.05116060013251	0.390349115585766	82	16804	0.91564882563275
MA0814.3	TFAP2C	AP-2	Unknown	1.05102257030702	0.389152754920264	85	17421	0.91564882563275
MA1951.2	FOS	Fos-related	MethylMinus	1.05079593443343	0.396936222389445	72	14760	0.91564882563275
MA1580.1	ZBTB32	Other factors with up to three adjacent zinc fingers	Unknown	1.05071680412224	0.385694743365178	94	19271	0.91564882563275
MA0753.3	ZNF740	Other factors with up to three adjacent zinc fingers	Unknown	1.050706520855	0.370823858574592	138	28293	0.91564882563275
MA2118.1	FOXS1	FOX	MethylMinus	1.05066039685961	0.387659346186272	90	18452	0.91564882563275
MA0804.2	TBX19	Brachyury-related factors	Unknown	1.05034412261038	0.409205444129661	56	11485	0.91564882563275
MA0608.1	Creb3l2	CREB-related factors	Unknown	1.04949037175311	0.400724724378837	71	14573	0.91564882563275
MA0740.2	KLF14	Three-zinc finger Kruppel-related	Unknown	1.0492067195637	0.376194100009377	134	27512	0.91564882563275
MA2259.1	org-1	TBX1-related factors	Unknown	1.04876532860149	0.411246061411179	58	11913	0.91564882563275
