motif_id	motif_name	tf_class	methyl_sens	odds_ratio	pvalue	n_dmp_hits	n_total_hits	fdr	log2OR
MA1859.2	FoxA-a	FOX	MethylMinus	241.134489444223	0	2055	23700	0	7.91369420401483
MA1972.1	ZFP14	Factors with multiple dispersed zinc fingers	Unknown	241.111014031257	0	2176	27846	0	7.91355374500941
MA1936.2	ERF::FOXO1	Ets-related	MethylMinus	241.072834884741	0	2143	26712	0	7.91332528084337
MA2186.1	tbx-38	TBX6-related factors	Unknown	240.87074010323	0	1949	20780	0	7.91211534187418
MA1152.2	SOX15	SOX-related factors	LittleEffect	240.170911316281	0	2134	26223	0	7.90791761708372
MA0508.4	PRDM1	More than 3 adjacent zinc fingers	Unknown	240.000463651161	0	2212	29270	0	7.90689338271929
MA0078.3	Sox17	SOX-related factors	LittleEffect	239.766949713601	0	2008	22495	0	7.90548899627321
MA0040.2	Foxq1	FOX	MethylMinus	239.19182174452	0	2033	23237	0	7.90202425267894
MA2139.1	let-381	FOX	MethylMinus	238.562581893503	0	2059	24049	0	7.89822396646242
MA1956.2	FOXO1::FLI1	FOX	MethylMinus	238.51600074091	0	2115	25817	0	7.89794224181368
MA2333.1	ZNF35	More than 3 adjacent zinc fingers	Unknown	237.979069436721	0	1988	22109	0	7.89469088201503
MA1990.2	Gli1	More than 3 adjacent zinc fingers	Unknown	237.954026645847	0	2086	24933	0	7.89453905769126
MA1653.2	ZNF148	More than 3 adjacent zinc fingers	Unknown	237.887904239215	0	2252	31141	0	7.89413810744891
MA2277.1	Sox21b	SOX-related factors	LittleEffect	237.007369885576	0	1963	21536	0	7.88878811105885
MA0002.3	Runx1	Runt-related factors	LittleEffect	236.631747238502	0	2109	25804	0	7.8864998328141
MA0187.1	Dll	NK	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA0224.1	exex	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA0706.2	MEOX2	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA0893.3	GSX2	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA1497.2	HOXA6	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA1500.2	HOXB6	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA1501.2	HOXB7	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA1502.2	HOXB8	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA1519.2	LHX5	HD-LIM	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA2093.1	HOXB1	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA2119.1	HOXA3	HOX	Unknown	236.355360912789	0	2013	22924	0	7.88481377744393
MA2095.1	Sox7	SOX-related factors	LittleEffect	234.831468613583	0	1986	22321	0	7.87548193966534
MA2187.1	ztf-6	Factors with multiple dispersed zinc fingers	Unknown	234.212681540839	0	1967	21871	0	7.8716753830381
MA0899.2	HOXA10	HOX	Unknown	234.037894471849	0	1960	21703	0	7.87059833385857
MA1915.2	SoxB1	SOX-related factors	LittleEffect	232.889656417737	0	1998	22814	0	7.86350275475837
MA0910.3	HOXD8	HOX	MethylPlus	231.361184986131	0	1958	21876	0	7.85400303639336
MA0895.2	HMBOX1	POU domain factors	Unknown	231.139546896316	0	2050	24471	0	7.85262030907864
MA2268.1	sage	TALE-type homeo domain factors	Unknown	230.348812981284	0	2004	23207	0	7.84767635333253
MA0772.2	IRF7	Interferon-regulatory factors	Unknown	230.048441368672	0	2115	26708	0	7.84579387165685
MA2185.1	tbx-37	TBX6-related factors	Unknown	229.908581494135	0	1923	21159	0	7.84491650640922
MA0683.2	POU4F2	POU domain factors	Unknown	228.864086186246	0	1921	21202	0	7.83834727981527
MA0065.3	Pparg::Rxra	Thyroid hormone receptor-related factors (NR1)	Unknown	228.510377394203	0	2083	25768	0	7.83611587398673
MA1872.2	FoxO	FOX	MethylMinus	228.08176731918	0	2034	24284	0	7.83340731310368
MA2336.1	ZSCAN21	More than 3 adjacent zinc fingers	Unknown	228.013934742288	0	1939	21784	0	7.83297818508264
MA0523.2	TCF7L2	TCF-7-related factors	Unknown	227.135408455471	0	1887	20398	0	7.82740881709279
MA2270.1	scrt	More than 3 adjacent zinc fingers	Unknown	226.692178767746	0	1930	21558	0	7.82459080649243
MA2157.1	atfs-1	ATF-4-related	Unknown	226.5912985462	0	1833	19159	0	7.82394865029202
MA1953.2	FOXO1::ELF1	FOX	MethylMinus	226.324898974233	0	2013	23836	0	7.82225150018877
MA0791.2	POU4F3	POU domain factors	Unknown	225.153987053064	0	1917	21416	0	7.81476821509274
MA0546.1	pha-4	FOX	MethylMinus	224.720812199077	0	1944	22098	0	7.81198993363373
MA0545.2	hlh-1	MyoD/ASC-related factors	Unknown	224.158407773521	0	1888	20671	0	7.80837480304098
MA0538.2	daf-12	C4-GATA-related	Unknown	223.968849621417	0	2079	26176	0	7.80715428088886
MA2207.1	ci	More than 3 adjacent zinc fingers	Unknown	223.672732185031	0	2041	24930	0	7.80524557876344
MA1700.1	Clamp	Factors with multiple dispersed zinc fingers	Unknown	223.659413981753	0	2139	28197	0	7.80515967344233
MA0673.2	NKX2-8	NK	Unknown	223.432364232525	0	1926	21672	0	7.80369436546144
MA0773.1	MEF2D	Regulators of differentiation	Unknown	223.276303479451	0	1908	21163	0	7.8026863345009
MA0533.1	su(Hw)	Factors with multiple dispersed zinc fingers	Unknown	223.212182793413	0	1875	20415	0	7.80227196056184
MA1839.2	GATAd	C4-GATA-related	Unknown	222.587574305664	0	1975	23115	0	7.79822924791753
MA2312.1	grn	C4-GATA-related	Unknown	222.587574305664	0	1975	23115	0	7.79822924791753
MA0495.4	MAFF	Maf-related	Unknown	222.345380155498	0	1829	19397	0	7.7966586187682
MA1989.2	Bcl11B	Factors with multiple dispersed zinc fingers	Unknown	221.381199868603	0	2049	25414	0	7.79038890056643
MA1471.2	BARX2	NK	Unknown	221.279965564072	0	1820	19262	0	7.78972902686137
MA0063.3	NKX2-5	NK	MethylPlus	221.086870894206	0	1893	21063	0	7.78846954392833
MA0255.2	z	""	Unknown	221.086870894206	0	1893	21063	0	7.78846954392833
MA0925.2	sma-4	SMAD factors	Unknown	221.065213957533	0	2004	24083	0	7.78832821538445
MA0606.3	Nfat5	NFAT-related factors	Unknown	221.047028480626	0	1984	23512	0	7.78820953015094
MA0790.2	POU4F1	POU domain factors	Unknown	220.823519266678	0	1915	21725	0	7.78675002730016
MA0734.4	Gli2	More than 3 adjacent zinc fingers	Unknown	220.801526609682	0	1933	22012	0	7.78660633663992
MA0857.1	Rarb	Thyroid hormone receptor-related factors (NR1)	Unknown	220.079233313939	0	1882	20864	0	7.78187920865951
MA0518.2	Stat4	STAT factors	Unknown	219.980004044168	0	1906	21390	0	7.78122857999099
MA2276.1	Sox21a	SOX-related factors	LittleEffect	218.986906922355	0	1833	19768	0	7.77470080442827
MA0488.2	JUN	Jun-related	MethylMinus	218.749304896436	0	1808	19169	0	7.77313462238114
MA1935.2	ERF::FOXI1	Ets-related	MethylMinus	218.598341097685	0	2077	26700	0	7.77213864248068
MA0264.2	ceh-22	NK	Unknown	218.104401663001	0	1791	18787	0	7.76887507572452
MA2149.1	odr-7	RXR-related receptors (NR2)	Unknown	214.585093689824	0	1992	24383	0	7.7454060514857
MA0774.1	MEIS2	TALE-type homeo domain factors	Unknown	214.377068108269	0	1886	21477	0	7.74400677889179
MA0205.3	Trl	More than 3 adjacent zinc fingers	Unknown	214.042552427951	0	2079	27298	0	7.74175382786883
MA2243.1	Hr38	NGFI-B-related receptors (NR4)	Unknown	214.036862484297	0	2015	25130	0	7.74171547585653
MA2164.1	egl-27	C4-GATA-related	Unknown	214.002656596787	0	1712	17433	0	7.74148489591152
MA0086.3	sna	More than 3 adjacent zinc fingers	Unknown	213.967216730957	0	1841	20316	0	7.74124595891159
MA1124.1	ZNF24	More than 3 adjacent zinc fingers	Unknown	213.75483997975	0	1924	22669	0	7.73981327660709
MA1981.2	ZNF530	More than 3 adjacent zinc fingers	Unknown	213.495189270975	0	2161	30456	0	7.73805975145608
MA2111.1	HNF4	RXR-related receptors (NR2)	Unknown	213.064253886042	0	1766	18773	0	7.73514476005561
MA0687.2	SPIC	Ets-related	MethylMinus	212.281018324512	0	1998	24801	0	7.72983156434633
MA1860.2	FoxA-b	FOX	MethylMinus	211.93897068698	0	1802	19590	0	7.7275050802101
MA2154.1	snai-1	More than 3 adjacent zinc fingers	Unknown	211.677048482424	0	1886	21714	0	7.72572104043509
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers	Unknown	210.42320301083	0	1908	22521	0	7.71714998671949
MA0249.3	twi	Tal-related	Unknown	210.267653353216	0	1975	24333	0	7.71608311908268
MA2203.1	CG12605	More than 3 adjacent zinc fingers	Unknown	210.138329683293	0	1763	18943	0	7.71519552646659
MA0744.3	SCRT2	More than 3 adjacent zinc fingers	Unknown	209.850469953614	0	1821	20252	0	7.71321788387293
MA1121.2	TEAD2	TEF-1-related factors	Unknown	209.689949985095	0	1804	19837	0	7.71211390741278
MA1962.1	POU2F1::SOX2	POU domain factors	MethylPlus	209.635499524551	0	1893	22081	0	7.71173923227711
MA1523.2	MSANTD3	Myb/SANT domain factors	Unknown	209.435214876823	0	1876	21669	0	7.71036023021319
MA0499.3	MYOD1	MyoD/ASC-related factors	Unknown	209.409989759887	0	1874	21621	0	7.71018645646218
MA0458.2	slp1	FOX	MethylMinus	209.23861854891	0	1911	22586	0	7.70900533986401
MA0753.3	ZNF740	Other factors with up to three adjacent zinc fingers	Unknown	209.100543864711	0	2090	28293	0	7.70805300411686
MA1580.1	ZBTB32	Other factors with up to three adjacent zinc fingers	Unknown	208.939676018626	0	1771	19271	0	7.70694266475618
MA0090.4	TEAD1	TEF-1-related factors	Unknown	208.353227754219	0	1769	19268	0	7.70288763984607
MA1455.2	dmrt99B	DMRT factors	Unknown	207.709150808857	0	1661	17026	0	7.69842096655307
MA0152.3	Nfatc2	NFAT-related factors	Unknown	207.646952270865	0	1960	24173	0	7.69798888659895
MA1618.2	Ptf1A	""	Unknown	207.524067041104	0	1862	21494	0	7.69713484858326
MA1594.1	ZNF382	Factors with multiple dispersed zinc fingers	Unknown	207.329806067483	0	1838	20987	0	7.69578372529897
MA1731.2	ZNF768	More than 3 adjacent zinc fingers	Unknown	207.152619147166	0	2074	27953	0	7.69455025101262
MA1113.3	PBX2	TALE-type homeo domain factors	Unknown	207.13530245803	0	1670	17245	0	7.69442964550977
MA0897.2	Hmx2	NK	Unknown	205.898478239304	0	1829	20757	0	7.68578935707018
MA2101.1	ZNF677	More than 3 adjacent zinc fingers	Unknown	205.495965818541	0	1976	24900	0	7.68296626178041
MA1942.2	ETV2::FOXI1	Ets-related	MethylMinus	205.141953498934	0	1968	24688	0	7.68047875675267
MA1728.2	ZNF549	More than 3 adjacent zinc fingers	Unknown	204.868950216413	0	2008	26111	0	7.67855753691936
MA0247.3	tin	Homeo	Unknown	204.826584423873	0	1696	17784	0	7.67825916452401
MA0262.1	mab-3	DMRT factors	Unknown	204.729952136345	0	1858	21656	0	7.67757837487887
MA0077.2	SOX9	SOX-related factors	LittleEffect	204.443487292868	0	1820	20717	0	7.6755582951925
MA2180.1	F10B5.3	Three-zinc finger Kruppel-related	Unknown	204.20050767774	0	1821	20765	0	7.67384264278401
MA1524.3	Msgn1	Tal-related	Unknown	204.147721456364	0	1913	23141	0	7.67346965514847
MA1473.2	CDX4	HOX	Unknown	203.655274169395	0	1744	18993	0	7.66998536684379
MA0913.3	HOXD9	HOX	Unknown	203.562865062208	0	1672	17373	0	7.66933059167482
MA0855.1	RXRB	RXR-related receptors (NR2)	Unknown	203.339742458297	0	1816	20718	0	7.66774840517374
MA2133.1	elt-7	C4-GATA-related	Unknown	203.335977236532	0	1868	22045	0	7.66772169068598
MA0117.3	Mafb	Maf-related	MethylMinus	203.215762210784	0	1717	18410	0	7.6668684973051
MA0140.3	GATA1::TAL1	C4-GATA-related	Unknown	203.148020666531	0	1674	17454	0	7.66638749779196
MA1640.2	MEIS2	TALE-type homeo domain factors	Unknown	203.122394946141	0	1646	17058	0	7.66620550029299
MA1148.2	PPARA::RXRA	Thyroid hormone receptor-related factors (NR1)	Unknown	202.969544187147	0	1713	18338	0	7.6651194553797
MA0144.3	STAT3	STAT factors	Unknown	202.906842777577	0	1795	20219	0	7.66467370876192
MA0741.1	KLF16	Three-zinc finger Kruppel-related	Unknown	202.831579670919	0	2111	29964	0	7.66413847864332
MA2125.1	Zfp809	More than 3 adjacent zinc fingers	Unknown	202.809430099196	0	1786	19993	0	7.66398092515862
MA1930.2	CTCF	More than 3 adjacent zinc fingers	Unknown	202.406536336499	0	1875	22316	0	7.66111206966856
MA0743.3	SCRT1	More than 3 adjacent zinc fingers	Unknown	202.375268999649	0	1815	20783	0	7.66088918795149
MA1607.2	Foxl2	FOX	MethylMinus	202.307904047552	0	1861	21966	0	7.66040887599542
MA0866.1	SOX21	SOX-related factors	LittleEffect	202.128209996688	0	1881	22499	0	7.65912687508544
MA2275.1	Sox15	SOX-related factors	LittleEffect	201.948869794491	0	1743	19116	0	7.6578462618051
MA0599.1	KLF5	Three-zinc finger Kruppel-related	MethylMinus	201.443549246161	0	2089	29177	0	7.6542317971
MA0087.3	Sox5	SOX-related factors	LittleEffect	201.390522938194	0	1779	19940	0	7.65385198418315
MA1451.1	nhr-6	NGFI-B-related receptors (NR4)	Unknown	200.792170470093	0	1966	25117	0	7.64955920485927
MA0095.4	Yy1	More than 3 adjacent zinc fingers	Unknown	200.7184757375	0	1816	20966	0	7.64902960980394
MA0446.1	fkh	FOX	MethylMinus	200.678401685195	0	1892	22934	0	7.64874154260675
MA0667.1	MYF6	MyoD/ASC-related factors	Unknown	200.500951049659	0	1637	17075	0	7.64746526970366
MA0036.4	GATA2	C4-GATA-related	Unknown	200.406582620645	0	1894	23015	0	7.64678608632278
MA0653.1	IRF9	Interferon-regulatory factors	Unknown	200.290120034306	0	1929	23999	0	7.64594744702588
MA1657.2	ZNF652	More than 3 adjacent zinc fingers	Unknown	200.149155119304	0	1461	13782	0	7.64493171552884
MA0681.3	PHOX2B	Paired-related HD factors	Unknown	200.145508393576	0	1816	21021	0	7.64490542932719
MA0160.3	NR4A2	NGFI-B-related receptors (NR4)	Unknown	199.001509298801	0	1909	23567	0	7.63663556250163
MA1629.2	Zic2	More than 3 adjacent zinc fingers	Unknown	198.875128071597	0	1836	21775	0	7.63571904939804
MA1153.2	Smad4	SMAD factors	Unknown	198.752439476671	0	1831	21595	0	7.63482875784114
MA0878.3	CDX1	HOX	MethylPlus	198.229098003292	0	1716	18813	0	7.63102494071393
MA1845.2	Atoh7	Tal-related	Unknown	198.017830091228	0	1806	20969	0	7.62948653031221
MA0183.1	HHEX	NK	Unknown	197.304338227439	0	1774	20196	0	7.62427886742974
MA0197.3	nub	POU domain factors	Unknown	197.275804385379	0	1728	19177	0	7.62407021206134
MA0747.2	SP8	Three-zinc finger Kruppel-related	Unknown	197.177738092218	0	2037	27864	0	7.62335286645532
MA2247.1	Kah	More than 3 adjacent zinc fingers	Unknown	197.174603836062	0	1778	20316	0	7.62332993378658
MA1955.2	FOXO1::ELK3	FOX	MethylMinus	197.147958925758	0	1904	23628	0	7.6231349640656
MA2190.1	Aef1	More than 3 adjacent zinc fingers	Unknown	197.103135577686	0	1938	24652	0	7.62280691717792
MA1645.2	NKX2-2	NK	Unknown	196.708313779458	0	1651	17652	0	7.61991412347112
MA1603.2	Dmrt1	DMRT factors	Unknown	196.511560885942	0	1622	17074	0	7.61847037931812
MA0660.1	MEF2B	Regulators of differentiation	Unknown	196.480173720666	0	1723	19131	0	7.61823993117482
